,tconst,title,release_year,adjusted_domestic_gross,director_gender,has_oscar_cast,propensity_score,adjusted_budget,star_power,num_production_countries,num_spoken_languages,num_production_companies,genre_stereotypes
128,tt0397044,blood and chocolate,2007,5.3,1,0,0.04750110929959423,22.7,166.0,4,3,5,1
129,tt0445922,across the universe,2007,36.9,1,0,0.034232818526166275,68.2,200.8,1,1,4,1
130,tt1010048,slumdog millionaire,2008,206.4,1,0,0.09321090350262716,21.9,289.0,1,3,2,0
131,tt0811080,speed racer,2008,64.2,1,1,0.02504028842836642,175.2,287.1,3,1,6,1
132,tt0974554,elegy,2008,5.2,1,1,0.09411236435027298,19.0,274.2,1,2,1,0
133,tt0978759,frozen river,2008,3.7,1,0,0.09819207517187611,1.5,141.3,1,4,2,0
134,tt1018785,the sisterhood of the traveling pants,2008,64.4,1,0,0.08476326561805705,39.4,460.1,1,1,3,0
135,tt0988595,dresses,2008,112.2,1,0,0.08109711614533337,43.8,250.1,1,1,3,0
136,tt1042877,cadillac records,2008,12.0,1,1,0.0941278311009512,17.5,327.3,1,1,1,0
137,tt0489281,stoploss,2008,15.9,1,0,0.04048931941834266,36.5,631.6,1,1,4,1
138,tt0430770,the women,2008,39.3,1,1,0.09110860331988982,23.4,518.1,1,1,2,0
139,tt1152850,wendy and lucy,2008,1.3,1,0,0.08256699838123123,0.3,52.5,1,1,5,0
140,tt1172233,whip it,2009,19.2,1,1,0.06465339444206833,22.0,213.0,1,1,9,0
141,tt1131734,jennifers body,2009,23.8,1,0,0.04475216247277488,23.5,639.1,1,2,3,1
142,tt1230414,its complicated,2009,165.2,1,1,0.05861684706200386,124.6,441.1,1,2,5,0
143,tt1174732,an education,2009,18.4,1,0,0.09234529238828401,11.0,456.9,1,1,3,0
144,tt1135503,julie julia,2009,138.0,1,1,0.07788924286879452,58.6,389.4,1,2,3,0
145,tt1220220,motherhood,2009,0.1,1,0,0.10153500322032633,7.3,451.5,1,1,1,0
146,tt1142433,post grad,2009,9.4,1,0,0.08527117201039301,22.0,431.5,1,1,4,0
147,tt1129445,amelia,2009,20.9,1,1,0.03664777988920599,58.6,339.0,1,1,3,1
148,tt1041829,the proposal,2009,240.3,1,1,0.07918743274382455,58.6,584.8,1,1,3,0
149,tt0810784,bright star,2009,6.5,1,0,0.09217637219028291,14.7,259.4,4,2,7,0
150,tt0892782,monsters vs aliens,2009,290.7,1,1,0.02160014553703922,256.5,761.7,1,1,2,1
151,tt1322312,going the distance,2010,25.7,1,0,0.08572283640694867,46.1,383.8,1,1,2,0
152,tt1320261,gullivers travels,2010,61.7,1,0,0.026523357766619012,161.5,497.0,1,1,4,1
153,tt1399683,winters bone,2010,9.4,1,0,0.09698060636870252,2.9,176.8,2,1,3,0
154,tt0804497,its kind of a funny story,2010,9.2,1,0,0.07853895265702132,11.5,238.1,1,1,6,0
155,tt1361313,the extra man,2010,0.7,1,1,0.0949412310287097,10.1,368.3,2,1,3,0
156,tt1274300,the tempest,2010,0.4,1,1,0.04285710495003334,28.8,445.5,1,1,2,1
157,tt0493949,ramona and beezus,2010,37.7,1,0,0.0918947182685014,21.6,351.1,1,1,2,0
158,tt1294226,the last song,2010,90.7,1,0,0.08956616845967542,28.8,324.4,1,1,2,0
159,tt0878835,please give,2010,5.8,1,0,0.09928024556505854,4.3,232.9,1,1,1,0
160,tt1570989,tiny furniture,2010,0.6,1,0,0.09816117285003578,0.1,66.8,1,1,1,0
161,tt1555064,country strong,2010,29.1,1,1,0.08240066761022798,21.6,670.8,1,1,5,0
162,tt1017451,the runaways,2010,5.2,1,1,0.08643226599272273,14.4,261.8,1,1,3,0
163,tt0842926,the kids are all right,2010,30.0,1,0,0.07481511633566647,5.0,359.2,1,1,8,0
164,tt1421051,somewhere,2010,2.6,1,0,0.09917922640112688,11.5,113.8,4,2,5,0
165,tt1233334,pariah,2011,1.1,1,0,0.09030181918744579,0.7,381.2,1,1,4,0
166,tt1563738,one day,2011,19.4,1,0,0.09697901816386316,21.0,260.7,2,1,2,0
167,tt1235170,the future,2011,0.8,1,0,0.04743783153797197,1.4,173.0,4,1,6,1
168,tt1714209,in the land of blood and honey,2011,0.4,1,0,0.04615739439610149,14.0,27.7,2,4,3,1
169,tt1588398,sleeping beauty,2011,0.1,1,0,0.0711337399105592,14.0,184.5,3,1,11,0
170,tt1321860,the beaver,2011,1.4,1,1,0.08524462189703061,29.4,322.2,2,1,4,0
171,tt1486185,red riding hood,2011,52.6,1,1,0.040120451541996234,58.7,480.1,2,1,3,1
