franchise,franchise_transform,franchise_url
American Ninja,American-Ninja,https://www.the-numbers.com/movies/franchise/American-Ninja#tab=summary
Critters,Critters,https://www.the-numbers.com/movies/franchise/Critters#tab=summary
Mirrors,Mirrors,https://www.the-numbers.com/movies/franchise/Mirrors#tab=summary
Space Chimps,Space-Chimps,https://www.the-numbers.com/movies/franchise/Space-Chimps#tab=summary
R I P D,R-I-P-D,https://www.the-numbers.com/movies/franchise/R-I-P-D#tab=summary
An Inconvenient Truth,An-Inconvenient-Truth,https://www.the-numbers.com/movies/franchise/An-Inconvenient-Truth#tab=summary
Prancer,Prancer,https://www.the-numbers.com/movies/franchise/Prancer#tab=summary
Trainspotting,Trainspotting,https://www.the-numbers.com/movies/franchise/Trainspotting#tab=summary
Tremors,Tremors,https://www.the-numbers.com/movies/franchise/Tremors#tab=summary
Kickboxer,Kickboxer,https://www.the-numbers.com/movies/franchise/Kickboxer#tab=summary
Joy Ride,Joy-Ride,https://www.the-numbers.com/movies/franchise/Joy-Ride#tab=summary
Big Lebowski,Big-Lebowski,https://www.the-numbers.com/movies/franchise/Big-Lebowski#tab=summary
Beastmaster,Beastmaster,https://www.the-numbers.com/movies/franchise/Beastmaster#tab=summary
Gate,Gate,https://www.the-numbers.com/movies/franchise/Gate#tab=summary
Wind River,Wind-River,https://www.the-numbers.com/movies/franchise/Wind-River#tab=summary
Half Baked,Half-Baked,https://www.the-numbers.com/movies/franchise/Half-Baked#tab=summary
Street Kings,Street-Kings,https://www.the-numbers.com/movies/franchise/Street-Kings#tab=summary
Pure Country,Pure-Country,https://www.the-numbers.com/movies/franchise/Pure-Country#tab=summary
Omega Code,Omega-Code,https://www.the-numbers.com/movies/franchise/Omega-Code#tab=summary
Cabin Fever,Cabin-Fever,https://www.the-numbers.com/movies/franchise/Cabin-Fever#tab=summary
My Hero Academia,My-Hero-Academia,https://www.the-numbers.com/movies/franchise/My-Hero-Academia#tab=summary
Millenium,Millenium,https://www.the-numbers.com/movies/franchise/Millenium#tab=summary
Never Back Down,Never-Back-Down,https://www.the-numbers.com/movies/franchise/Never-Back-Down#tab=summary
X (Mia Goth),X-(Mia-Goth),https://www.the-numbers.com/movies/franchise/X-(Mia-Goth)#tab=summary
Piranha,Piranha,https://www.the-numbers.com/movies/franchise/Piranha#tab=summary
Flicka,Flicka,https://www.the-numbers.com/movies/franchise/Flicka#tab=summary
Center Stage,Center-Stage,https://www.the-numbers.com/movies/franchise/Center-Stage#tab=summary
Alpha and Omega,Alpha-and-Omega,https://www.the-numbers.com/movies/franchise/Alpha-and-Omega#tab=summary
Before Sunrise,Before-Sunrise,https://www.the-numbers.com/movies/franchise/Before-Sunrise#tab=summary
Pulse,Pulse,https://www.the-numbers.com/movies/franchise/Pulse#tab=summary
Escape Plan,Escape-Plan,https://www.the-numbers.com/movies/franchise/Escape-Plan#tab=summary
Warlock,Warlock,https://www.the-numbers.com/movies/franchise/Warlock#tab=summary
Bloodsport,Bloodsport,https://www.the-numbers.com/movies/franchise/Bloodsport#tab=summary
Hercules,Hercules,https://www.the-numbers.com/movies/franchise/Hercules#tab=summary
Plane   ,Plane,https://www.the-numbers.com/movies/franchise/Plane#tab=summary
Exterminator,Exterminator,https://www.the-numbers.com/movies/franchise/Exterminator#tab=summary
Thanksgiving,Thanksgiving,https://www.the-numbers.com/movies/franchise/Thanksgiving#tab=summary
Baahubali,Baahubali,https://www.the-numbers.com/movies/franchise/Baahubali#tab=summary
Marine The,Marine-The,https://www.the-numbers.com/movies/franchise/Marine-The#tab=summary
Vacancy,Vacancy,https://www.the-numbers.com/movies/franchise/Vacancy#tab=summary
Wild Orchid,Wild-Orchid,https://www.the-numbers.com/movies/franchise/Wild-Orchid#tab=summary
Skyline,Skyline,https://www.the-numbers.com/movies/franchise/Skyline#tab=summary
Nobody,Nobody,https://www.the-numbers.com/movies/franchise/Nobody#tab=summary
Tales From the Hood,Tales-From-the-Hood,https://www.the-numbers.com/movies/franchise/Tales-From-the-Hood#tab=summary
Class of 1984,Class-of-1984,https://www.the-numbers.com/movies/franchise/Class-of-1984#tab=summary
Wrong Turn,Wrong-Turn,https://www.the-numbers.com/movies/franchise/Wrong-Turn#tab=summary
Far From Home,Far-From-Home,https://www.the-numbers.com/movies/franchise/Far-From-Home#tab=summary
Leprechaun,Leprechaun,https://www.the-numbers.com/movies/franchise/Leprechaun#tab=summary
Waiting,Waiting,https://www.the-numbers.com/movies/franchise/Waiting#tab=summary
Wolf Creek,Wolf-Creek,https://www.the-numbers.com/movies/franchise/Wolf-Creek#tab=summary
American Girl,American-Girl,https://www.the-numbers.com/movies/franchise/American-Girl#tab=summary
Philadelphia Experiment,Philadelphia-Experiment,https://www.the-numbers.com/movies/franchise/Philadelphia-Experiment#tab=summary
No Manches Frida,No-Manches-Frida,https://www.the-numbers.com/movies/franchise/No-Manches-Frida#tab=summary
Les Boys,Les-Boys,https://www.the-numbers.com/movies/franchise/Les-Boys#tab=summary
Happily Never After,Happily-Never-After,https://www.the-numbers.com/movies/franchise/Happily-Never-After#tab=summary
Shaun the Sheep,Shaun-the-Sheep,https://www.the-numbers.com/movies/franchise/Shaun-the-Sheep#tab=summary
See No Evil,See-No-Evil,https://www.the-numbers.com/movies/franchise/See-No-Evil#tab=summary
Arthur and the Minimoys,Arthur-and-the-Minimoys,https://www.the-numbers.com/movies/franchise/Arthur-and-the-Minimoys#tab=summary
Smoke,Smoke,https://www.the-numbers.com/movies/franchise/Smoke#tab=summary
Undisputed,Undisputed,https://www.the-numbers.com/movies/franchise/Undisputed#tab=summary
Left Behind,Left-Behind,https://www.the-numbers.com/movies/franchise/Left-Behind#tab=summary
Belly,Belly,https://www.the-numbers.com/movies/franchise/Belly#tab=summary
Norm of the North,Norm-of-the-North,https://www.the-numbers.com/movies/franchise/Norm-of-the-North#tab=summary
Man With The Iron Fists The,Man-With-The-Iron-Fists-The,https://www.the-numbers.com/movies/franchise/Man-With-The-Iron-Fists-The#tab=summary
After,After,https://www.the-numbers.com/movies/franchise/After#tab=summary
Best of the Best,Best-of-the-Best,https://www.the-numbers.com/movies/franchise/Best-of-the-Best#tab=summary
Collector The,Collector-The,https://www.the-numbers.com/movies/franchise/Collector-The#tab=summary
Molly Hartley,Molly-Hartley,https://www.the-numbers.com/movies/franchise/Molly-Hartley#tab=summary
Tom yum goong,Tom-yum-goong,https://www.the-numbers.com/movies/franchise/Tom-yum-goong#tab=summary
What the Bleep,What-the-Bleep,https://www.the-numbers.com/movies/franchise/What-the-Bleep#tab=summary
Trois Couleurs,Trois-Couleurs,https://www.the-numbers.com/movies/franchise/Trois-Couleurs#tab=summary
12 Rounds,12-Rounds,https://www.the-numbers.com/movies/franchise/12-Rounds#tab=summary
Fortress,Fortress,https://www.the-numbers.com/movies/franchise/Fortress#tab=summary
Eddie and the Cruisers,Eddie-and-the-Cruisers,https://www.the-numbers.com/movies/franchise/Eddie-and-the-Cruisers#tab=summary
Dhoom,Dhoom,https://www.the-numbers.com/movies/franchise/Dhoom#tab=summary
C H U D,C-H-U-D,https://www.the-numbers.com/movies/franchise/C-H-U-D#tab=summary
Buena Vista Social Club,Buena-Vista-Social-Club,https://www.the-numbers.com/movies/franchise/Buena-Vista-Social-Club#tab=summary
Boondock Saints,Boondock-Saints,https://www.the-numbers.com/movies/franchise/Boondock-Saints#tab=summary
Jean de Florette,Jean-de-Florette,https://www.the-numbers.com/movies/franchise/Jean-de-Florette#tab=summary
City of God,City-of-God,https://www.the-numbers.com/movies/franchise/City-of-God#tab=summary
BTS,BTS,https://www.the-numbers.com/movies/franchise/BTS#tab=summary
Trailer Park Boys,Trailer-Park-Boys,https://www.the-numbers.com/movies/franchise/Trailer-Park-Boys#tab=summary
Troll,Troll,https://www.the-numbers.com/movies/franchise/Troll#tab=summary
Pushpa,Pushpa,https://www.the-numbers.com/movies/franchise/Pushpa#tab=summary
Atlas Shrugged,Atlas-Shrugged,https://www.the-numbers.com/movies/franchise/Atlas-Shrugged#tab=summary
Wandering Earth The,Wandering-Earth-The,https://www.the-numbers.com/movies/franchise/Wandering-Earth-The#tab=summary
Condemned The,Condemned-The,https://www.the-numbers.com/movies/franchise/Condemned-The#tab=summary
Fire Earth Water,Fire-Earth-Water,https://www.the-numbers.com/movies/franchise/Fire-Earth-Water#tab=summary
Work and the Glory,Work-and-the-Glory,https://www.the-numbers.com/movies/franchise/Work-and-the-Glory#tab=summary
Other Side of Heaven The,Other-Side-of-Heaven-The,https://www.the-numbers.com/movies/franchise/Other-Side-of-Heaven-The#tab=summary
Dragon Ball Z,Dragon-Ball-Z,https://www.the-numbers.com/movies/franchise/Dragon-Ball-Z#tab=summary
Ladron que roba a ladron,Ladron-que-roba-a-ladron,https://www.the-numbers.com/movies/franchise/Ladron-que-roba-a-ladron#tab=summary
Belle de Jour,Belle-de-Jour,https://www.the-numbers.com/movies/franchise/Belle-de-Jour#tab=summary
Cities of Love,Cities-of-Love,https://www.the-numbers.com/movies/franchise/Cities-of-Love#tab=summary
Serbuan maut,Serbuan-maut,https://www.the-numbers.com/movies/franchise/Serbuan-maut#tab=summary
Ponniyin Selvan,Ponniyin-Selvan,https://www.the-numbers.com/movies/franchise/Ponniyin-Selvan#tab=summary
Snowman The,Snowman-The,https://www.the-numbers.com/movies/franchise/Snowman-The#tab=summary
2 Days In,2-Days-In,https://www.the-numbers.com/movies/franchise/2-Days-In#tab=summary
Way The,Way-The,https://www.the-numbers.com/movies/franchise/Way-The#tab=summary
Food Inc,Food-Inc,https://www.the-numbers.com/movies/franchise/Food-Inc#tab=summary
Goon,Goon,https://www.the-numbers.com/movies/franchise/Goon#tab=summary
Biggest Little Farm The,Biggest-Little-Farm-The,https://www.the-numbers.com/movies/franchise/Biggest-Little-Farm-The#tab=summary
Hello Love,Hello-Love,https://www.the-numbers.com/movies/franchise/Hello-Love#tab=summary
