franchise,franchise_transform,franchise_url
Peyton Place,Peyton-Place,https://www.the-numbers.com/movies/franchise/Peyton-Place#tab=summary
Psycho,Psycho,https://www.the-numbers.com/movies/franchise/Psycho#tab=summary
Secret Life of Pets The,Secret-Life-of-Pets-The,https://www.the-numbers.com/movies/franchise/Secret-Life-of-Pets-The#tab=summary
It,It,https://www.the-numbers.com/movies/franchise/It#tab=summary
National Treasure,National-Treasure,https://www.the-numbers.com/movies/franchise/National-Treasure#tab=summary
Barbie,Barbie,https://www.the-numbers.com/movies/franchise/Barbie#tab=summary
Three Men and a Baby,Three-Men-and-a-Baby,https://www.the-numbers.com/movies/franchise/Three-Men-and-a-Baby#tab=summary
Mario,Mario,https://www.the-numbers.com/movies/franchise/Mario#tab=summary
Spy Kids,Spy-Kids,https://www.the-numbers.com/movies/franchise/Spy-Kids#tab=summary
Venom,Venom,https://www.the-numbers.com/movies/franchise/Venom#tab=summary
Hotel Transylvania,Hotel-Transylvania,https://www.the-numbers.com/movies/franchise/Hotel-Transylvania#tab=summary
Fugitive,Fugitive,https://www.the-numbers.com/movies/franchise/Fugitive#tab=summary
2001,2001,https://www.the-numbers.com/movies/franchise/2001#tab=summary
Sonic The Hedgehog,Sonic-The-Hedgehog,https://www.the-numbers.com/movies/franchise/Sonic-The-Hedgehog#tab=summary
Jackass,Jackass,https://www.the-numbers.com/movies/franchise/Jackass#tab=summary
Da Vinci Code,Da-Vinci-Code,https://www.the-numbers.com/movies/franchise/Da-Vinci-Code#tab=summary
Gremlins,Gremlins,https://www.the-numbers.com/movies/franchise/Gremlins#tab=summary
Poseidon Adventure The,Poseidon-Adventure-The,https://www.the-numbers.com/movies/franchise/Poseidon-Adventure-The#tab=summary
Bruce Almighty,Bruce-Almighty,https://www.the-numbers.com/movies/franchise/Bruce-Almighty#tab=summary
Charlie and the Chocolate Factory,Charlie-and-the-Chocolate-Factory,https://www.the-numbers.com/movies/franchise/Charlie-and-the-Chocolate-Factory#tab=summary
Captain Marvel,Captain-Marvel,https://www.the-numbers.com/movies/franchise/Captain-Marvel#tab=summary
Addams Family,Addams-Family,https://www.the-numbers.com/movies/franchise/Addams-Family#tab=summary
Little Mermaid The,Little-Mermaid-The,https://www.the-numbers.com/movies/franchise/Little-Mermaid-The#tab=summary
Porkys,Porkys,https://www.the-numbers.com/movies/franchise/Porkys#tab=summary
