title,release_year,adjusted_domestic_gross
Skyscraper,2018,85668202.81959379
Liar Liar,1997,355361354.2429907
Passengers,2016,131019255.68999998
Superman,1978,647210810.7239263
Van Helsing,2004,199975286.72525144
Horton Hears a Who,2008,225657480.82489547
Shutter Island,2010,184535838.83356258
Migration,2023,131693956.91499837
My Best Friend's Wedding,1997,248411559.5214953
A Quiet Place: Part II,2021,185873934.3232472
Miss Peregrine’s Home for Peculiar Ch…,2016,114288112.53999999
The Boy and the Heron (君たちはどう生きるか)…,2023,48323772.1851001
G-Force,2009,175062566.37762237
The Green Mile,1999,258165378.06482592
Salt,2010,170550637.77716643
The Departed,2006,206456491.25
Bridesmaids,2011,236550307.42196527
What Lies Beneath,2000,283844320.29268295
Oblivion,2013,120237402.07725321
Bee Movie,2007,192054382.48335743
Turbo,2013,112034523.91416307
Elysium,2013,125557754.4412017
Wedding Crashers,2005,336806220.68202764
Casper,1995,208025621.37007874
John Carter,2012,100042023.85714285
Elvis,2022,162641744.11752647
Shakespeare in Love,1998,193496407.56809816
The First Slam Dunk,2022,1387644.7338571916
The Tourist,2010,97493057.13342503
Gran Torino,2008,216261787.9647004
Cloudy with a Chance of Meatballs 2,2013,161644195.12789696
Jerry Maguire,1996,308493912.8413002
Lincoln,2012,249504297.52264807
The Princess and the Frog,2009,153023975.03776222
The Firm,1993,344514715.88096887
Mr. Peabody & Sherman,2014,148109934.90494296
"10,000 B.C.",2008,138412228.49233627
Exodus: Gods and Kings,2014,86356412.70468947
American Gangster,2007,197413238.72648335
We’re the Millers,2013,202935240.4017167
Something's Gotta Give,2003,213049130.89565217
Indecent Proposal,1993,231968582.35017303
Waterworld,1995,182051257.007874
The Truman Show,1998,242296701.80613497
The Fifth Element,1997,124527595.0953271
Real Steel,2011,119473829.92263226
Epic,2013,145081002.66437766
TAYLOR SWIFT | THE ERAS TOUR,2023,186515165.72628817
Total Recall,1990,287205335.7429227
The Full Monty,1997,90010706.2728972
Michael Jackson's This Is It,2009,105666272.40279719
A Quiet Place: Day One,2024,138930553.0
Robots,2005,206380357.25960058
The Lone Ranger,2013,120500364.61802574
The Ghouls,2015,1650016.3037974683
Knight and Day,2010,110166906.02475928
Out of Africa,1985,231115755.5687732
Super 8,2011,177546082.15918183
American Hustle,2013,202536285.69270384
Erin Brockovich,2000,229224776.7944251
The Village,2004,190067232.86394918
Gong fu yu jia,2017,465195.27050183597
The Taking of Tiger Mountain,2014,296154.97084917617
Us,2019,215278028.75244427
Cliffhanger,1993,182872470.1619377
Wild Hogs,2007,255119878.48335743
Parasite (기생충),2019,65621618.4122018
Get Out,2017,225554658.35985312
True Grit,2010,246853740.3576341
Dolittle,2020,93599680.20092735
After Earth,2013,81665868.22660942
You’ve Got Mail,1998,223400478.6993865
Sound of Freedom,2023,190041278.8395143
