name,domestic_gross,num_movies,avg_gross
agim kaba,3558.0,1,3558.0
agles steib,7027762.0,1,7027762.0
agnes banfalvy,144387781.0,2,72193890.5
agnes bruckner,54883627.0,11,4989420.636363637
agnes hurstel,50360.0,1,50360.0
agnes kittelsen,1562564.0,2,781282.0
agnes moorehead,11000000.0,3,3666666.6666666665
agnes viala,25950.0,1,25950.0
agnese brighittini,18550030.0,1,18550030.0
agnese graziani,70805.0,2,35402.5
agnese nano,11985152.0,1,11985152.0
agni scott,30609618.0,2,15304809.0
agnieszka grochowska,8659914.0,4,2164978.5
agnieszka kruk,96898818.0,1,96898818.0
agnieszka zulewska,104039.0,1,104039.0
agnostic front,514622.0,1,514622.0
agnus sampson,6388.0,1,6388.0
agostino chiummariello,92373751.0,1,92373751.0
agueda cardenas,325100054.0,1,325100054.0
aguendia fotabong,40479370.0,1,40479370.0
agusti villaronga,55608.0,1,55608.0
agustin alvardo,39442871.0,1,39442871.0
agustin silva,275057.0,2,137528.5
agustina munoz,5212.0,1,5212.0
agyness deyn,30500578.0,5,6100115.6
ahan shetty,130934.0,1,130934.0
aharon ipal,165362823.0,2,82681411.5
aharon traitel,13358.0,1,13358.0
ahd ahd,1342455.0,1,1342455.0
ahlam canaan,107977.0,1,107977.0
ahleh gua,6933000.0,1,6933000.0
ahmad cage,143518.0,1,143518.0
ahmad kaabour,145526.0,1,145526.0
ahmad khan mahmidzada,15800078.0,1,15800078.0
ahmad mehranfar,470346.0,1,470346.0
ahmad powell,30226144.0,1,30226144.0
ahmad reese,60240295.0,1,60240295.0
ahmaogak sweeney,20157300.0,1,20157300.0
ahmed abdelhafiz,11308.0,1,11308.0
ahmed ahmed,342602352.0,2,171301176.0
ahmed alibrahim,47467250.0,1,47467250.0
ahmed alkhan,70327868.0,1,70327868.0
ahmed ayoub,50824620.0,1,50824620.0
ahmed badran,47467250.0,1,47467250.0
ahmed ben larby,43631893.0,3,14543964.333333334
ahmed best,1179632497.0,4,294908124.25
ahmed burwaiss,8286741.0,1,8286741.0
ahmed el idrissi el amrani,14817.0,1,14817.0
ahmed elshenawi,179880271.0,1,179880271.0
ahmed farah,1689879.0,1,1689879.0
ahmed hussien,46801036.0,1,46801036.0
ahmed jamal,9176787.0,1,9176787.0
ahmed jimmy abounouom,61322858.0,1,61322858.0
ahmed lucan,145607170.0,2,72803585.0
ahmed osman,155442489.0,1,155442489.0
ahmed seleem,80953.0,1,80953.0
ahmed thomas,24004833.0,1,24004833.0
ahmed zakzouk,126266254.0,2,63133127.0
ahmet kursun,4200117.0,1,4200117.0
ahmet orhan ozcam,139854287.0,1,139854287.0
ahmet rifat sungar,33326.0,1,33326.0
ahmet zirek,747092.0,1,747092.0
ahmirkhalib thompson,946154.0,1,946154.0
ahn jaehong,37489.0,1,37489.0
ahn naesang,25753.0,1,25753.0
ahn seohyun,157961.0,1,157961.0
ahna oreilly,382195893.0,15,25479726.2
ahney her,148095302.0,1,148095302.0
ahuti prasad,1582476.0,1,1582476.0
ai hashimoto,16627.0,1,16627.0
ai maeda,70098138.0,1,70098138.0
ai sato,87737.0,1,87737.0
aias dalman,26402818.0,1,26402818.0
aibhe cowley,6024.0,1,6024.0
aida anderson,29381956.0,1,29381956.0
aida baggio,126813153.0,1,126813153.0
aida economu,7446823.0,1,7446823.0
aida folch,78504.0,1,78504.0
aida lindares,43001500.0,1,43001500.0
aida manassy,125070033.0,1,125070033.0
aida munoz,330360194.0,1,330360194.0
aida rodriguez,1658706.0,1,1658706.0
aida turturro,160966403.0,4,40241600.75
aida valentine,39003.0,1,39003.0
aidan besu,11239.0,1,11239.0
aidan cook,533539991.0,1,533539991.0
aidan devine,325295953.0,6,54215992.166666664
aidan feore,550243763.0,2,275121881.5
aidan fiske,249484.0,3,83161.33333333333
aidan fogarty,10017.0,1,10017.0
aidan gemme,124013444.0,2,62006722.0
aidan gillen,424041877.0,15,28269458.466666665
aidan gouveia,14928.0,1,14928.0
aidan kennedy,226277068.0,1,226277068.0
aidan koper,32061555.0,1,32061555.0
aidan kumar singh,33700160.0,1,33700160.0
aidan m bateman,24801212.0,1,24801212.0
aidan mccann,29035702.0,2,14517851.0
aidan mcgraw,350363009.0,2,175181504.5
aidan moreno,9358025.0,1,9358025.0
aidan potter,13103272.0,1,13103272.0
aidan quinn,321980377.0,24,13415849.041666666
aidan redmond,11237.0,2,5618.5
aidan ritchie,64321890.0,1,64321890.0
aidan smith,4200117.0,1,4200117.0
aidan sussman,136025503.0,1,136025503.0
aidan turner,847530299.0,5,169506059.8
aidan vallejo,11528613.0,1,11528613.0
aidan whytock,131241238.0,3,43747079.333333336
aideen okelly,67658331.0,1,67658331.0
aideen wylde,5676110.0,1,5676110.0
aiden bennetts,126181630.0,1,126181630.0
aiden flowers,173551382.0,5,34710276.4
aiden haggarty,2402004.0,1,2402004.0
aiden lewandowski,54733739.0,1,54733739.0
aiden longworth,1124445.0,1,1124445.0
aiden lovecamp,56396701.0,4,14099175.25
aiden mccullough,7714.0,1,7714.0
aiden mcgraw,107509366.0,1,107509366.0
aiden noesi,20450.0,1,20450.0
aiden williams,42469946.0,1,42469946.0
aidy bryant,336046406.0,4,84011601.5
ailani flowers,60619191.0,1,60619191.0
aileen henry,560341.0,1,560341.0
aileen marson,3751699.0,1,3751699.0
aileen wu,105313091.0,1,105313091.0
ailish oconnor,256682.0,1,256682.0
ailun,42230.0,1,42230.0
aiman sohel daw,107977.0,1,107977.0
aime clariond,5247.0,1,5247.0
aime kelly,1876298.0,1,1876298.0
aime lefevre,198791.0,1,198791.0
aimee ann duffy,1872994.0,1,1872994.0
aimee brigg,22913677.0,1,22913677.0
aimee carrero,84225705.0,5,16845141.0
aimee conn,151101803.0,1,151101803.0
aimee efion edwards,323796.0,2,161898.0
aimee garcia,169288170.0,8,21161021.25
aimee goldsmith,46290741.0,1,46290741.0
aimee graham,75921503.0,4,18980375.75
aimee laurence,5332621.0,1,5332621.0
aimee lou wood,3037858.0,1,3037858.0
aimee matimbia,9176787.0,1,9176787.0
aimee meditz,34302837.0,1,34302837.0
aimee mullins,8251578.0,4,2062894.5
aimee rose ambroziak,16007718.0,1,16007718.0
aimee stoltee,1157.0,1,1157.0
aimee teegarden,76130534.0,9,8458948.222222222
aimeelynn chadwick,10130219.0,2,5065109.5
aina adler,48795601.0,1,48795601.0
aine ni mhuiri,38322743.0,1,38322743.0
aine rose daly,4588389.0,1,4588389.0
ainea ojiambo,33579798.0,1,33579798.0
aino jawo,153856089.0,1,153856089.0
ainsley dobbs,40860481.0,1,40860481.0
ainsley henry,3323.0,1,3323.0
airon armstrong,156082015.0,2,78041007.5
aisha fabienne ross,11114018.0,1,11114018.0
aisha hinds,195634603.0,5,39126920.6
aisha kabia,13103272.0,1,13103272.0
aisha takow,18704596.0,1,18704596.0
aisha tyler,297399385.0,7,42485626.428571425
aishwarya rai,52531558.0,9,5836839.777777778
aisleagh jackson,32862104.0,1,32862104.0
aislin mcguckin,6024.0,1,6024.0
aislin roche,69660733.0,1,69660733.0
aisling bea,179897.0,1,179897.0
aisling franciosi,51529682.0,7,7361383.142857143
aisling loftus,10907898.0,2,5453949.0
aisling mara andreica,214506909.0,1,214506909.0
aislinn derbez,20660052.0,5,4132010.4
aissa maiga,304279.0,3,101426.33333333333
aissam bouali,345497195.0,2,172748597.5
aiste dirziute,80006287.0,3,26668762.333333332
aiste gramantaite,24139805.0,2,12069902.5
ait hamou amine,2756333.0,1,2756333.0
aitana snchezgijn,2297501.0,1,2297501.0
aitor bourgade,16831.0,1,16831.0
aitor miguens,17612099.0,1,17612099.0
aixa kendrick,87044645.0,1,87044645.0
aixa maldonado,73776784.0,3,24592261.333333332
aiysha hart,5231717.0,3,1743905.6666666667
aiysha sinclair,25059640.0,1,25059640.0
aiza ntibarikure,19115191.0,1,19115191.0
aj bediako,48003015.0,1,48003015.0
aj benza,136520504.0,2,68260252.0
aj bowen,18569732.0,8,2321216.5
aj buckley,123570658.0,4,30892664.5
aj calloway,56398162.0,1,56398162.0
aj cook,46924690.0,2,23462345.0
aj ekoku,27338033.0,1,27338033.0
aj gutierrez,11528.0,1,11528.0
aj henderson,17273059.0,1,17273059.0
aj johnson,33618011.0,3,11206003.666666666
aj kane,160799505.0,1,160799505.0
aj kennedy,75078.0,1,75078.0
aj kirsch,6546159.0,1,6546159.0
aj lister,50258025.0,2,25129012.5
aj mccloud,43107979.0,1,43107979.0
aj michalka,46750515.0,4,11687628.75
aj muhlach,178471.0,1,178471.0
aj nay,101295562.0,1,101295562.0
aj orta,11614954.0,1,11614954.0
aj ortiz,48791187.0,1,48791187.0
aj risi,155442489.0,1,155442489.0
aj ross,28607015.0,1,28607015.0
aj simmons,222001.0,1,222001.0
aj tannen,11075484.0,2,5537742.0
aj teece,130178411.0,1,130178411.0
aja echols,61280963.0,1,61280963.0
aja naomi king,124097063.0,6,20682843.833333332
aja volkman,22049.0,1,22049.0
ajana davis,40860481.0,1,40860481.0
ajanae stephenson,68947075.0,1,68947075.0
ajani aj carr,5478009.0,1,5478009.0
ajani perkins,180202163.0,1,180202163.0
ajani russell,236799.0,2,118399.5
ajay,2313043.0,1,2313043.0
ajay chhabra,46536687.0,1,46536687.0
ajay devgan,2605636.0,3,868545.3333333334
ajay devgn,21937953.0,8,2742244.125
ajay ghosh,134166.0,1,134166.0
ajay jadhav,298032.0,1,298032.0
ajay mehta,89518816.0,3,29839605.333333332
ajay naidu,110969551.0,5,22193910.2
ajay ratilal navi,291710957.0,1,291710957.0
ajay trehan,124221.0,1,124221.0
ajgie kirkland,70262999.0,2,35131499.5
ajia mignon johnson,1353824.0,1,1353824.0
ajinkya deo,177437.0,1,177437.0
ajiona alexus,90389686.0,2,45194843.0
ajse useini,280510.0,1,280510.0
aju makita,89315.0,1,89315.0
ajuawak kapashesit,12486.0,1,12486.0
akaji maro,136306058.0,2,68153029.0
akari kit,17657658.0,1,17657658.0
akash sinha,344534.0,1,344534.0
akasha villalobos,9176.0,1,9176.0
akbar kurtha,50824620.0,1,50824620.0
akbar omar,74070.0,1,74070.0
akeem smith,179862.0,2,89931.0
akende munalula,47319572.0,1,47319572.0
akesh gill,32698899.0,1,32698899.0
