imdb_id,title,release_year,budget,production_companies,production_countries,spoken_languages
tt2294629,Frozen,2013,150000000,"Walt Disney Pictures, Walt Disney Animation Studios",United States of America,English
tt5013056,Dunkirk,2017,150000000,"Warner Bros. Pictures, Syncopy, RatPac Entertainment","France, Netherlands, United Kingdom, United States of America","English, French, German"
tt2948356,Zootopia,2016,150000000,"Walt Disney Animation Studios, Walt Disney Pictures",United States of America,English
tt0107290,Jurassic Park,1993,63000000,"Universal Pictures, Amblin Entertainment",United States of America,"English, Spanish"
tt0102926,The Silence of the Lambs,1991,19000000,"Orion Pictures, Strong Heart/Demme Production",United States of America,English
tt2771200,Beauty and the Beast,2017,160000000,"Walt Disney Pictures, Mandeville Films",United States of America,"English, French"
tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006,200000000,"Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions",United States of America,"English, Turkish, Greek, Mandarin"
tt2245084,Big Hero 6,2014,165000000,"Walt Disney Pictures, Walt Disney Animation Studios",United States of America,English
tt1670345,Now You See Me,2013,75000000,"Summit Entertainment, K/O Paper Products, SOIXAN7E QUIN5E, See Me Louisiana",United States of America,"French, English"
tt1951265,The Hunger Games: Mockingjay - Part 1,2014,125000000,"Lionsgate, Color Force","Canada, United States of America",English
tt1270797,Venom,2018,116000000,"Matt Tolmach Productions, Pascal Pictures, Marvel Entertainment, Tencent Pictures, Arad Productions","China, United States of America","Mandarin, English, Malay"
tt0482571,The Prestige,2006,40000000,"Warner Bros. Pictures, Touchstone Pictures, Newmarket Films, Syncopy","United Kingdom, United States of America",English
tt0480249,I Am Legend,2007,150000000,"Village Roadshow Pictures, Weed Road Pictures, Original Film, Warner Bros. Pictures, Heyday Films, Overbrook Entertainment",United States of America,English
tt0120815,Saving Private Ryan,1998,70000000,"Paramount, Amblin Entertainment, Mutual Film Company, DreamWorks Pictures, The Mark Gordon Company",United States of America,"Czech, German, English, French"
tt4154664,Captain Marvel,2019,152000000,Marvel Studios,United States of America,English
tt3890160,Baby Driver,2017,34000000,"Big Talk Productions, Working Title Films",United Kingdom,English
