director_name
susanne bier
leyla bouzid
kansas bowling
muriel box
maureen bradley
madeline brandeis
maryann brandon
netalie braun
janicza bravo
anja breien
zabou breitman
pietra brettkelly
amit breuer
manon briand
tricia brock
beth broderick
sandrine brodeurdesrosiers
katrina holden bronson
katherine brooks
julie brown
christene browne
frances buss buch
valerie buhagiar
kathy burke
nanette burstein
mira burtwintonick
maria burton
sophia bush
akosua busia
andrea bussmann
mary ellen bute
dominique cabrera
sophia cacciola
annemarie cadieux
diane cailhier
liz cairns
terril calder
julia cameron
jessica cameron
leah cameron
peg campbell
tisha campbellmartin
jordan canning
dyan cannon
kay cannon
dominique cardona
fernanda cardoso
maggie carey
edith carlmar
joan carrwiggin
albertina carri
mlanie carrier
shelagh carter
kirsten carthew
alexandra cassavetes
zoe cassavetes
jacqueline castel
cecil castellucci
ruth caudeli
genevive duludede celles
jennifer celotta
thea ervenkov
lydia chagoll
ilene chaiken
tanuja chandra
sylvia chang
karen chapman
lyne charlebois
miryam charles
martine chartrand
lilyan chauvin
shu lea cheang
shirley cheechoo
joan chen
evelyn spice cherry
mabel cheung
sagari chhabra
patricia chica
abigail child
aisling chinyee
sj chiro
karen cho
monia chokri
joyce chopra
zero chou
deborah chow
katerina cizek
julie st claire
millefiore clarkes
maja classen
marie clements
jub clerc
susan cohen
yulie cohen
giada colagrande
fabienne colas
laurie colbert
janis cole
cristina comencini
nicole conn
heather connell
lisa connor
janice cookeleonard
nancy cooperstein
eleanor coppola
cristina kotz cornejo
larissa corriveau
catherine corsini
helena cortesina
ghyslaine ct
michle cournoyer
mariehlne cousineau
courteney cox
barbara cranmer
judith crawley
leanna creel
jeanne crpeau
nancy criss
suzanne crocker
emmakate croghan
caitlin cronenberg
catherine crouch
fiona cumming
carolynne cunningham
shelley curtis
thirza cuthand
cherien dabis
eva dahr
holly dale
mariejulie dallaire
tamela damico
aime danis
mireille dansereau
gia darling
joan darling
rima das
charlotte dauphin
dorothy davenport
marie davignon
tamra davis
roxann dawson
deborah day
linda day
camille de casabianca
laura de jonge
maria de medeiros
miranda de pencier
charlotte de turckheim
marina de van
autumn de wilde
rowan deacon
regine deforges
katrina del mar
julie delpy
paula delsol
pouran derakhshandeh
sophie deraspe
dhvani desai
virginie despentes
arundhati devi
aminder dhaliwal
aishwarya r dhanush
katherine dieckmann
susie dietter
nia dinata
zoe dirse
abigail disney
leila djansi
assia djebar
nana djordjadze
shannen doherty
gail dolgin
trish dolman
mary agnes donoghue
mia donovan
andrea dorfman
anita doron
doris drrie
nicole dorsey
illeana douglas
elissa down
rosvita dransfeld
polly draper
fran drescher
marie dressler
mr and mrs sidney drew
kate drummond
alma duncan
lena dunham
jan dunn
sophie dupuis
clea duvall
galle dynglemare
christine edzard
blessing effiom egbe
michelle ehlen
debra eisenstadt
jihan eltahri
jan eliasberg
phyllis ellis
bille eltringham
sheri elwood
erma elzyjones
anne mond
esther eng
diane english
jackie english
marie epstein
abby epstein
anna eriksson
claudia morgado escanilla
danishka esterhazy
bang eunjin
yasmin everingkerr
ewa ewart
valie export
tali shalom ezer
trey fanjoy
mitra farahani
danielle faraldo
marianne farley
vera farmiga
sepideh farsi
safi faye
daniela fejerman
rachel feldman
lynne fernie
pascale ferran
pepita ferrari
sally field
chip fields
kim fields
martha fiennes
sophie fiennes
denise filiatrault
lee filipovski
roberta findlay
frauke finsterwalder
jenna fischer
jennifer flackett
tracy flannigan
luise fleck
ann marie fleming
shannon flynn
anna foerster
susanna fogel
cheryl foggo
deanne foley
sheree folkson
megan follows
maya forbes
amanda forbis
victoria forester
mira fornay
sadaf foroughi
kyllikki forssell
sarah fortin
amparo fortuny
gwendolyn audrey foster
kathryn foster
lilibet foster
tori foster
beryl fox
sarain fox
rana abu fraihah
bonnie franklin
raquel freire
camelia frieberg
liz friedlander
kim friedman
vivi friedman
shirley frimpongmanso
grete frische
sarah frost
soleil moon frye
kei fujiwara
beln funes
mellissa fung
kelly fyffemarshall
bethany joy galeotti
maya gallus
nisha ganatra
shruti ganguly
emmanuelle schick garcia
nicole garcia
jennifer garner
jem garrard
katy garretson
jennie garth
sarah baril gaudet
karen gaviola
sarah gavron
katrin gebbe
ngardy conteh george
geretta geretta
valeriya gai germanika
tina gharavi
coky giedroyc
maria giese
melody gilbert
melissa gilbert
leah gilliam
abby ginzberg
tess girard
lillian gish
ellen gittelsohn
delphine gleize
alesia glidewell
lana gogoberidze
dana goldberg
whoopi goldberg
valeria golino
rosser goodman
dennie gordon
rachel goslins
lisa gottlieb
danis goulet
sophie goyette
marita grabiak
briar gracesmith
anais granofsky
lee grant
susannah grant
janet greek
lynnie greene
amy greenfield
maggie greenwald
annie griffin
allison grodner
iveta grfov
esther gronenborn
patricia gruben
gigi saul guerrero
luce guilbeault
sonali gulati
xiaolu guo
jasmine guy
alice guyblach
maggie gyllenhaal
joana hadjithomas
lucile hadihalilovi
mona zandi haghighi
helen haigbrown
randa haines
maha haj
pam hall
sachi hamano
lisa gay hamilton
sylvia hamilton
michelle handelman
kristin hanggi
teresa hannigan
marion hnsel
banchi hanuse
neasa hardiman
mariska hargitay
alicia k harris
danielle harris
jacke harry
bobbi jo hart
melissa joan hart
phoebe hart
gail harvey
jessica hausner
goldie hawn
gwen haworth
salma hayek
helaine head
julie hbert
anne heche
jen heck
birgit hein
manijeh hekmat
katherine helmond
heather hemmens
felicia d henderson
maryam henein
jill hennessy
astrid henningjensen
babette henry
kathleen hepburn
jennifer love hewitt
sachiko hidari
heather hill
cheryl hines
ivy ho
lyndall hobbs
victoria hochberg
tamar simon hoffs
helen holmes
peggy holmes
mahboubeh honarian
solveig hoogesteijn
zoe leigh hopkins
gwyneth horderpayton
rebecca horn
mars horodyski
anna maria horsford
joan horvath
sally el hosaini
dianne houston
bryce dallas howard
tiffany hsiung
huang huizhen
huang xi
tasha hubbard
bronwen hughes
ann hui
danielle huillet
bonnie hunt
helen hunt
nicki hunter
tonya hurley
anjelica huston
ansa ikonen
indrani
dana inkster
laura innes
nyla innuksuk
diana lee inosanto
bodil ipsen
elisapie isaac
debbie isitt
lula ali ismal
madeline ivalu
julia crawford ivers
sangita iyer
mehreen jabbar
annemarie jacir
lisa jackson
katie jacobs
sarah jacobson
jeong jaeeun
wanda jakubowska
annabel jankel
sophie jarvis
kathleen jayme
marianne jeanbaptiste
christine jeffs
caytha jentis
katherine jerkovic
slater jewellkemker
renuka jeyapalan
xiao jiang
liu jiayin
xu jinglei
stephanie johnes
amy jo johnson
karen johnson
stephanie joline
amy holden jones
g b jones
rachel leah jones
meryam joobeur
hella joof
yashira jordn
mary jordan
elena jordi
nana jorjadze
suma josson
petra joy
maureen judge
july jung
ingrid jungermann
marieve juste
shahnewaz kakoli
kelley kali
alex kalymnios
deborah kampmeier
ellie kanner
nelly kaplan
betty kaplan
deborah kaplan
prema karanth
niki karimi
anna karina
alexa karolinski
matia karrell
nicole kassell
daphna kastner
nancy kates
sandra kaudelka
ish amitoj kaur
mariko kawana
diane keaton
elodie keene
alan rowe kelly
amanda kernell
sarah kernochan
joanna kerns
tkeyah crystal keymh
dorota kdzierzawska
noura kevorkian
farah khan
callie khouri
kaleena kiff
ceyda asl klkran
clare kilner
gloria ui young kim
jacqueline kim
eilis kirwan
eriko kitagawa
bonnie sherr klein
karen knox
ana kokkinos
kathy kolla
frances koncan
larysa kondracki
sudha kongara
torill kove
ellen kuras
diane kurys
ayten kuyululu
julia kwan
sandra kybartas
vlasta lah
christine lahti
kalpana lajmi
karen lam
evelyn lambart
alix lambert
mary lambert
micheline lanctt
jessica landaw
valerie landsburg
samantha lang
yelena lanskaya
tanya lapointe
brie larson
michelle latimer
clara law
teza lawrence
tracie laymon
alexandra lazarowich
margaret lazarus
elizabeth lazebnik
lauren lazin
caroline leaf
alexandra leclre
carinne leduc
georgia lee
helen lee
iara lee
karin lee
min sook lee
sookyin lee
wendee lee
kat lehmer
jennifer jason leigh
julia leigh
rita leistner
valrie lemercier
marquise lepage
glory leppnen
chlo leriche
mira lesmana
chandler levack
naomi levine
anne lvymorelle
mary lewis
sharon lewis
li yu
leslie libman
yin lichuan
allison liddibrown
rakel liekki
sharon liese
georgina lightning
nnegest likk
desiree lim
caroline link
tatyana lioznova
christine lipinska
marion lipschutz
lynne littman
renata litvinova
ma liwen
jayne loader
sondra locke
julia loktev
brenda longfellow
kim longinotto
kamala lopez
sophie lorain
ariane louisseize
juliana luecking
agnieszka lukasiak
ktia lund
luo luo
joy lusco
nomie lvovsky
lottie lyell
dorothy lyman
jennifer lynch
lisbeth lynghft
gillian lynne
kate maberly
hettie macdonald
shauna macdonald
angelina maccarone
allison mack
barbie maclaurin
alison maclean
aoife madden
mary madeiras
madhumitha
madonna
maria maggenti
adriana maggs
sharon maguire
donatella maiorca
mawenn
taru mkel
hana makhmalbaf
sarah maldoror
yassamin maleknasr
anna malle
nancy malone
laura ma
babette mangolte
suhasini maniratnam
ami canaan mann
andrea mann
milie mannering
michelle manning
dinah manoff
auli mantila
sophie marceau
frances marion
eisha marjara
giulia marletta
alina marazzi
joanne marcotte
guylaine maroist
liz marshall
tonie marshall
catherine martin
darnell martin
aurora martinez
marsha mason
laetitia masson
mary stuart masterson
anna mastro
jean mathieson
yasmine mathurin
tomoko matsunashi
gail maurice
juliet may
melanie mayron
patricia mazuy
trish mcadam
aoife mcardle
elske mccain
naomi mccormack
jennette mccurdy
paulette mcdonagh
sally mcdonald
francine mcdougall
christine mcglade
molly mcglynn
mary mcguckian
danica mckellar
ashley mckenzie
nancy mckeon
gillian mckercher
tawnia mckiernan
sheila mclaughlin
carolyn mcmaster
chelsea mcmullan
lucile mcvey
nancy meckler
ann medina
stella meghie
anisa mehdi
vijaya mehta
hu mei
anna melikian
kay mellor
linda mendoza
weyni mengesha
nina menkes
anjali menon
melanie merkosky
natalya merkulova
agns merlet
marzieh meshkini
leah meyerhoff
liu miaomiao
maude michaud
vanessa middleton
ina mihalache
gia milani
tamineh milani
amy miller
elisa miller
sharron miller
jacquelyn mills
pilar mir
fawzia mirza
efrat mishori
adrienne mitchell
dorothea mitchell
martha mitchell
jill mitwell
ariane mnouchkine
siue moffat
tracey moffat
hengameh mofid
michelle mohabeer
hillie molenaar
josefina molina
karen moncrieff
nadine monfils
caroline monnet
adriana monti
christine moore
jocelyn moorhouse
laura mora
soudabeh moradian
jeanne moreau
yolande moreau
wendy morgan
stephanie morgenstern
makoto moriwaki
carol morley
judy morris
dee mosbacher
kim moses
emilia mosquito
granaz moussavi
jasmin mozaffari
katharina mckstein
nimisha mukerji
april mullen
beth murphy
colleen murphy
alison murray
tosca musk
jinna mutune
gloria muzio
toni myers
la mysius
fanta rgina nacro
ruba nadda
janice nadeau
phyllis nagy
najwa najjar
laurel nakadate
shasha nakhai
isabelle nanty
darlene naponse
terre nash
sandra nashaat
afia nathaniel
zarqa nawaz
anjali nayar
lynne naylor
mariam ndagire
shirin neshat
jennifer siebel newsom
carol nguyen
kim o nguyen
nafiss nia
jill nicholls
lisa niemi
jessica nilsson
mika ninagawa
vijaya nirmala
miwa nishikawa
michelle nolden
peg norman
isabel noronha
elvira notari
lily nottage
maria novaro
lynn novick
radda novikova
cherie nowlan
marti noxon
tereza nvotov
mipo o
claire oakley
melanie oates
kim obomsawin
katharine obrien
shelagh obrien
renee oconnor
alice ofredericks
eileen omeara
diane obomsawin
paula van der oest
naoko ogigami
mipo oh
linda ohama
annette k olesen
susan oliver
madeleine olnek
jenni olson
gulshat omarova
yoko ono
midi onodera
ngozi onwurah
ruth orkin
rene oro
katrin ottarsdttir
ulrike ottinger
halima ouardiri
jackie oudney
akosua adoma owusu
jan oxenberg
nisha pahuja
indrani palchaudhuri
gail palmer
sai paranjpye
vrna paravel
claire parker
francine parker
gudrun parker
molly parker
pratibha parmar
laura parnes
christine pascal
lesley ann patten
paula patton
nelofer pazira
barbara peeters
andre pelletier
francine pelletier journalist
alexandra pelosi
nadine pequeneza
sumitra peries
cristina perincioli
janet perlman
ellen perry
donna pescow
kristine peterson
lori petty
carmine pierredufour
ileana pietrobruno
lydia dean pilcher
justine pimlott
carol pineau
agnieszka piotrowska
zuzana piussi
mary kay place
jennifer podemski
amy poehler
anne claire poirier
lindsey pollard
la pool
leanne pooley
cynthia j popp
lourdes portillo
franka potente
brigitte poupart
deborah pratt
olga preobrazhenskaya
ellen s pressman
gaylene preston
carrie preston
claire prieto
kardeisha provo
lkhagvadulam purevochir
vivian qu
gracia querejeta
katell quillvr
joanna quinn
tahani rached
deborah raffin
eliane raheb
