title,director,cast
CODA,Sian Heder,"['Emilia Jones', 'Troy Kotsur', 'Marlee Matlin', 'Eugenio Derbez']"
The Power of the Dog,Jane Campion,"['Benedict Cumberbatch', 'Kirsten Dunst', 'Jesse Plemons', 'Kodi Smit-McPhee']"
Happening,Audrey Diwan,"['Anamaria Vartolomei', 'Kacey Mottet Klein', 'Luàna Bajrami', 'Louise Orry-Diquéro']"
Hellbender,John Adams,"['Zelda Adams', 'Toby Poser', 'Lulu Adams', 'John Adams']"
Neptune Frost,Saul Williams,"['Cheryl Isheja', 'Bertrand Ninteretse', 'Eliane Umuhire', 'Elvis Ngabo']"
The Pink Cloud,Iuli Gerbase,"['Eduardo Mendonça', 'Girley Paes', 'Kaya Rodrigues', 'Renata de Lélis']"
The Fallout,Megan Park,"['Jenna Ortega', 'Maddie Ziegler', 'Niles Fitch', 'Will Ropp']"
We're All Going to the World's Fair,Jane Schoenbrun,"['Anna Cobb', 'Michael J. Rogers']"
Murina,Antoneta Alamat Kusijanovic,"['Gracija Filipovic', 'Danica Curcic', 'Leon Lucev', 'Cliff Curtis']"
Anaïs in Love,Charline Bourgeois-Tacquet,"['Anaïs Demoustier', 'Valeria Bruni Tedeschi', 'Denis Podalydès', 'Jean-Charles Clichet']"
Clara Sola,Nathalie Álvarez Mesén,"['Wendy Chinchilla Araya', 'Ana Julia Porras Espinoza', 'Daniel Castañeda Rincón', 'Flor María Vargas Chaves']"
The Forty-Year-Old Version,Radha Blank,"['Welker White', 'Reed Birney', 'Radha Blank', 'Peter Kim']"
Totally Under Control,Alex Gibney,"['Alex Gibney', 'Taison Bell', 'Michael Bowen', 'Rick Bright']"
Miss Juneteenth,Channing Godfrey Peoples,"['Nicole Beharie', 'Kendrick Sampson', 'Alexis Chikaeze', 'Lori Hayes']"
Kajillionaire,Miranda July,"['Evan Rachel Wood', 'Gina Rodriguez', 'Richard Jenkins', 'Debra Winger']"
Never Rarely Sometimes Always,Eliza Hittman,"['Ryan Eggold', 'Théodore Pellerin', 'Sharon Van Etten', 'Sidney Flanigan']"
Athlete A,Bonni Cohen,"['Maggie Nichols', 'Jerry Moran', 'Jennifer Sey']"
