rank,year,title,domestic_gross
205,2023,The Wandering Earth 2 (流浪地球2),"$5,023,132"
206,2011,The Smurfs,"$142,614,158"
207,2017,Kong: Skull Island,"$168,052,812"
208,2001,"Monsters, Inc.","$290,149,425"
209,2011,Cars 2,"$191,450,875"
210,2005,Madagascar,"$193,595,521"
211,2012,Ted,"$218,665,740"
212,2004,The Day After Tomorrow,"$186,740,799"
213,2011,Puss in Boots,"$149,260,504"
214,2012,Brave,"$237,282,182"
215,1998,Armageddon,"$201,578,182"
216,2005,King Kong,"$218,080,025"
217,2023,No More Bets (孤注一掷),
218,2000,Mission: Impossible 2,"$215,409,889"
219,1980,Star Wars Ep. V: The Empire Strikes Back,"$291,738,960"
220,2024,Kung Fu Panda 4,"$193,590,620"
221,2014,American Sniper,"$350,126,372"
222,2010,Despicable Me,"$252,756,705"
223,2024,Mufasa: The Lion King,"$193,420,756"
224,2018,Detective Chinatown 2 (唐人街探案),"$1,983,984"
225,2018,Hong Hai Xing Dong,"$1,543,547"
226,2016,X-Men: Apocalypse,"$155,442,489"
227,2015,Cinderella,"$201,151,353"
228,2011,Sherlock Holmes: A Game of Shadows,"$186,848,418"
229,2015,The Revenant,"$183,637,894"
230,2008,WALL-E,"$223,808,164"
231,2013,World War Z,"$202,706,711"
232,2018,Ralph Breaks The Internet,"$201,091,711"
233,2014,Godzilla,"$200,676,069"
234,2017,The Boss Baby,"$175,003,033"
235,2018,Hotel Transylvania 3: Summer Vacation,"$167,500,092"
236,2018,The Meg,"$145,443,742"
237,2007,The Simpsons Movie,"$183,135,014"
238,2016,Mei Ren Yu,"$3,229,457"
239,2019,How to Train Your Dragon: The Hidden …,"$160,799,505"
240,2016,Kung Fu Panda 3,"$143,528,619"
241,2015,Ant-Man,"$180,202,163"
242,1990,Ghost,"$217,631,306"
243,2004,Meet the Fockers,"$279,167,575"
244,1991,Terminator 2: Judgment Day,"$203,464,105"
245,2018,Dr. Seuss’ The Grinch,"$272,961,295"
246,1999,Toy Story 2,"$245,852,179"
247,2017,Dunkirk,"$190,068,280"
248,2020,Demon Slayer: Kimetsu no Yaiba—The Mo…,"$49,888,502"
249,2016,La La Land,"$151,101,803"
250,1992,Aladdin,"$217,350,219"
251,2021,Venom: Let There be Carnage,"$213,550,366"
252,2009,Sherlock Holmes,"$209,028,679"
253,2012,Wreck-It Ralph,"$189,412,677"
254,1996,Twister,"$241,688,385"
255,2010,How to Train Your Dragon,"$217,851,976"
256,2010,Clash of the Titans,"$163,214,888"
257,2014,Rio 2,"$131,538,435"
258,2001,Shrek,"$268,377,061"
259,2009,Angels & Demons,"$133,375,846"
260,2013,Oz the Great and Powerful,"$234,770,996"
261,2017,War for the Planet of the Apes,"$146,880,162"
262,2019,Maleficent: Mistress of Evil,"$113,929,605"
263,2023,Xiāo Shī De Tā (消失的她),"$820,000"
264,2011,Rio,"$143,619,809"
265,2005,Mr. and Mrs. Smith,"$186,336,279"
266,2022,Puss in Boots: The Last Wish,"$186,090,535"
267,1998,Saving Private Ryan,"$216,335,085"
268,2014,Teenage Mutant Ninja Turtles,"$191,204,754"
269,2023,Elemental,"$154,426,697"
270,2012,Les Intouchables,"$13,182,281"
271,2003,Bruce Almighty,"$242,704,995"
272,1975,Jaws,"$273,661,595"
273,2004,Troy,"$133,298,577"
274,1983,Star Wars Ep. VI: Return of the Jedi,"$316,465,003"
275,2024,YOLO (热辣滚烫),"$2,001,584"
276,1990,Home Alone,"$285,761,243"
277,2005,Charlie and the Chocolate Factory,"$206,459,076"
278,2015,Hotel Transylvania 2,"$169,700,110"
279,2024,Venom: The Last Dance,"$139,755,882"
280,2019,Wo he wo de zu guo,"$2,323,409"
281,1989,Indiana Jones and the Last Crusade,"$197,171,806"
282,2020,Ba bai,
283,2011,Rise of the Planet of the Apes,"$176,760,185"
284,2024,Successor (抓娃娃),
285,2014,The Lego Movie,"$257,784,718"
286,2019,It: Chapter Two,"$211,593,228"
287,2013,Star Trek Into Darkness,"$228,778,661"
288,2024,Pegasus 2 (飞驰人生2),
289,1999,The Matrix,"$173,993,387"
290,2009,The Hangover,"$277,322,503"
291,2018,Bumblebee,"$127,195,589"
292,2023,Ant-Man and the Wasp: Quantumania,"$214,506,909"
293,2006,Cars,"$244,082,982"
294,2022,Du Xing Yue Qiu (独行月球),
295,2006,X-Men: The Last Stand,"$234,362,462"
296,1996,Mission: Impossible,"$180,981,886"
297,2014,Lucy,"$126,573,960"
298,2007,National Treasure: Book of Secrets,"$219,961,501"
299,2003,The Last Samurai,"$111,110,575"
300,2015,San Andreas,"$155,190,832"
301,2024,Gladiator II,"$171,430,775"
302,2007,300,"$210,614,939"
303,2000,Gladiator,"$187,683,805"
304,2018,Wo Bi Shi Yao Shen,"$6,752"
305,2001,Ocean’s Eleven,"$183,417,150"
306,2012,Django Unchained,"$162,805,434"
307,2024,Beetlejuice Beetlejuice,"$294,100,435"
308,2021,Godzilla vs. Kong,"$100,916,094"
309,2011,Thor,"$181,030,624"
310,2001,Pearl Harbor,"$198,539,855"
311,1999,Tarzan,"$171,091,819"
312,2019,The Secret Life of Pets 2,"$159,214,420"
313,2007,The Bourne Ultimatum,"$227,471,070"
314,2009,Alvin and the Chipmunks: The Squeakquel,"$219,614,612"
315,2002,Men in Black 2,"$190,418,803"
316,1993,Mrs. Doubtfire,"$219,195,051"
317,2023,John Wick: Chapter 4,"$187,131,806"
318,2023,Transformers: Rise of the Beasts,"$157,341,749"
319,2016,Warcraft,"$47,365,290"
320,1991,Beauty and the Beast,"$206,333,165"
321,2012,Les Misérables,"$149,260,140"
322,2001,The Mummy Returns,"$202,007,640"
323,2023,Aquaman and the Lost Kingdom,"$124,481,226"
324,2020,Wo He Wo De Jia Xiang,
325,2019,Zhongguo jizhang,"$706,572"
326,2003,Terminator 3: Rise of the Machines,"$150,358,296"
327,1990,Pretty Woman,"$178,406,268"
328,2021,Shang-Chi and the Legend of the Ten R…,"$224,543,292"
329,2015,Terminator: Genisys,"$89,760,956"
330,2002,Die Another Day,"$160,942,139"
331,2018,A Star is Born,"$215,288,866"
332,2010,The King’s Speech,"$138,797,449"
333,2021,Dune,"$109,987,830"
334,2019,Pokémon: Detective Pikachu,"$144,105,346"
335,1973,The Exorcist,"$230,956,951"
336,2017,The Greatest Showman,"$174,340,174"
