tconst,title,release_year,genres,adjusted_budget,adjusted_domestic_gross,director_ids,director_names,production_companies,production_countries,spoken_languages
tt0118531,one eight seven,1997,"Drama,Thriller",39177570.093457945,11259245.786915887,nm0721817,kevin reynolds,Icon Entertainment International,United States of America,"English, Spanish"
tt0954947,the killer inside me,2010,"Crime,Drama,Mystery",18740027.51031637,313213.6121045392,nm0935863,michael winterbottom,"Revolution Films, Indion Entertainment Group, Hero Entertainment, Muse Productions, Stone Canyon Entertainment, Curiously Bright Entertainment, BOB Film Sweden, Film i Väst","Canada, Sweden, United Kingdom, United States of America",English
tt2513074,billy lynns long halftime walk,2016,"Action,Drama,Sport",52399999.99999999,2277404.87,nm0000487,ang lee,"Bona Film Group, The Ink Factory, Marc Platt Productions, Studio 8, TriStar Pictures, Film4 Productions, LStar Capital, Haishang Films","China, United Kingdom, United States of America",English
tt1176740,away we go,2009,"Comedy,Drama,Romance",24917482.517482515,13854041.130069928,nm0005222,sam mendes,"Neal Street Productions, Focus Features, Big Beach",United States of America,English
tt0102768,regarding henry,1991,"Drama,Romance",57709251.10132159,99263374.4493392,nm0001566,mike nichols,Paramount,United States of America,English
tt0088850,brewsters millions,1985,Comedy,58438661.71003717,119214869.88847584,nm0001353,walter hill,"Silver Pictures, Universal Pictures, Davis Entertainment, Lawrence Gordon Productions",United States of America,English
tt0129332,ravenous,1999,"Adventure,Drama,Horror",22645858.343337335,3892079.5102040814,nm0000944,antonia bird,"ETIC Films, Engulf & Devour Productions Inc., Fox 2000 Pictures, 20th Century Fox, Heyday Films, Adam Fields Productions","Czech Republic, Mexico, United Kingdom, United States of America","English, Spanish"
tt0294870,rent,2005,"Drama,Musical,Romance",64393241.16743471,46809937.41321045,nm0001060,chris columbus,"1492 Pictures, Columbia Pictures, Revolution Studios",United States of America,English
tt0134067,the rugrats movie,1998,"Adventure,Animation,Comedy",57865030.67484663,193837601.00613496,"nm0468335,nm0899329","igor kovalyov,norton virgien","Klasky-Csupo, Nickelodeon Movies, Paramount",United States of America,English
tt0114825,vampire in brooklyn,1995,"Comedy,Fantasy,Horror",28881889.763779525,40511279.63779528,nm0000127,wes craven,Paramount,United States of America,English
tt3976144,the monster,2016,"Drama,Fantasy,Horror",3536999.9999999995,16432.64,nm1052162,bryan bertino,"Atlas Independent, Unbroken Pictures","Canada, United States of America",English
tt6643972,triple threat,2019,"Action,Thriller",12295658.975361751,93802.35275713728,nm0425364,jesse v. johnson,"Hamilton Entertainment, Kungfuman Culture Media, Aurora Alliance Films, SC Films Thailand Co.","United States of America, China, Thailand","Indonesian, English, Thai, Mandarin"
tt1232783,sorority row,2009,"Horror,Mystery",18321678.321678318,17537923.826573424,nm0376664,stewart hendler,"Karz Entertainment, Summit Entertainment, House Row Productions",United States of America,English
tt0192614,the skulls,2000,"Action,Crime,Drama",27386759.581881534,63915548.153310105,nm0003418,rob cohen,"Universal Pictures, Original Film, Newmarket Capital Group, Cranium Films","Canada, United States of America",English
tt0189998,shadow of the vampire,2000,"Drama,Horror",14606271.777003486,15115696.543554008,nm0580729,e. elias merhige,"BBC Film, Saturn Films, Long Shot Pictures, Pilgrim Films","Luxembourg, United Kingdom, United States of America","English, German"
tt0104254,ferngully the last rainforest,1992,"Adventure,Animation,Family",53781895.93727725,47309748.96650035,nm0472386,bill kroyer,"Kroyer Films, Youngheart Productions, FAI Films","Australia, United States of America",English
tt0117331,the phantom,1996,"Action,Adventure,Comedy",90172084.13001911,34507051.151051626,nm0934578,simon wincer,"Paramount, The Ladd Company, Village Roadshow Entertainment","Australia, United States of America",English
