tconst,title,release_year,genres,adjusted_budget,adjusted_domestic_gross,director_ids,director_names,production_companies,production_countries,spoken_languages
tt6663582,the spy who dumped me,2018,"Action,Adventure,Comedy",50083632.01911589,42022757.83990442,nm2573005,susanna fogel,"Imagine Entertainment, Lionsgate, Bron Studios","Canada, United States of America","English, French, German, Lithuanian, Russian"
tt0272338,punchdrunk love,2002,"Comedy,Drama,Romance",43690939.41078376,31092274.299055025,nm0000759,paul thomas anderson,"Columbia Pictures, New Line Cinema, Ghoulardi Film Company, Revolution Studios",United States of America,English
tt2788732,petes dragon,2016,"Action,Adventure,Comedy",85149999.99999999,99865427.81,nm1108007,david lowery,Whitaker Entertainment,United States of America,English
tt11813216,the banshees of inisherin,2022,"Comedy,Drama",21482746.83976768,11366807.073454048,nm1732981,martin mcdonagh,"Searchlight Pictures, Blueprint Pictures, Film4 Productions, Metropolitan Films International, TSG Entertainment","Ireland, United Kingdom, United States of America",English
tt0200465,the bank job,2008,"Crime,Drama,Thriller",29205759.405480724,43897220.17649791,nm0002044,roger donaldson,"Omnilab Media, Mosaic Media Group, Relativity Media, Skyline (Baker St), Atlas Entertainment","Australia, United Kingdom, United States of America",English
tt1682180,stoker,2013,"Drama,Thriller",16192274.678111587,2298122.3175965664,nm0661791,park chan-wook,"Fox Searchlight Pictures, Indian Paintbrush, Scott Free Productions, Dayday Films, Ingenious Media","United Kingdom, United States of America",English
tt9620288,king richard,2021,"Biography,Drama,Sport",58007380.07380073,17562701.880442802,nm3232264,reinaldo marcus green,"Star Thrower Entertainment, Westbrook Studios, Warner Bros. Pictures, Overbrook Entertainment",United States of America,English
tt7139936,a rainy day in new york,2019,"Comedy,Romance",30739147.43840438,3373.9288228392647,nm0000095,woody allen,"Gravier Productions, Perdido Productions, FilmNation Entertainment",United States of America,English
tt0314353,tears of the sun,2003,"Action,Drama,Thriller",128152173.91304347,74554591.27826087,nm0298807,antoine fuqua,"Columbia Pictures, Revolution Studios, Cheyenne Enterprises, Michael Lobell Productions",United States of America,English
tt0822847,priest,2011,"Action,Fantasy,Horror",83877278.79057358,40731681.70031124,nm0829820,scott stewart,"Michael De Luca Productions, Stars Road Entertainment, TOKYOPOP, Buckaroo Entertainment, Screen Gems",United States of America,"Spanish, English, Portuguese"
tt0203019,men of honor,2000,"Biography,Drama",58425087.10801394,89125478.45296168,nm0863387,george tillman jr.,Fox 2000 Pictures,United States of America,English
tt0280590,mr deeds,2002,"Comedy,Romance",87381878.82156752,220715182.3724291,nm0109359,steven brill,"New Line Cinema, Out of the Blue... Entertainment, Columbia Pictures, Happy Madison Productions",United States of America,English
tt1103153,killers,2010,"Action,Comedy,Romance",108115543.32874827,67838846.25034387,nm0525659,robert luketic,"Katalyst Films, Lionsgate, Aversano Films",United States of America,English
tt1438254,charlie st cloud,2010,"Drama,Fantasy,Romance",63427785.41953232,44985094.393397525,nm0824882,burr steers,"Marc Platt Productions, Universal Pictures, Relativity Media",United States of America,English
tt0276751,about a boy,2002,"Comedy,Drama,Romance",47186214.563646466,71308856.03112839,"nm0919363,nm0919369","chris weitz,paul weitz","Universal Pictures, StudioCanal, Working Title Films, Tribeca Productions, Kalima Productions","France, Germany, United Kingdom, United States of America",English
tt1242432,i spit on your grave,2010,"Horror,Thriller",2883081.1554332874,134136.79229711142,nm0003458,steven r. monroe,"Anchor Bay Films, CineTel Films",United States of America,English
tt0114069,outbreak,1995,"Action,Drama,Thriller",103149606.29921259,139919497.0551181,nm0000583,wolfgang petersen,"Kopelson Entertainment, Arnold Kopelson Productions, Punch Productions, Warner Bros. Pictures",United States of America,"English, Korean, French"
tt0268695,the time machine,2002,"Action,Adventure,Sci-Fi",139811006.11450803,99064519.69760977,nm0920425,simon wells,"DreamWorks Pictures, Warner Bros. Pictures",United States of America,English
tt0253556,reign of fire,2002,"Action,Adventure,Fantasy",104858254.58588104,75256737.85881044,nm0101385,rob bowman,"The Zanuck Company, Spyglass Entertainment, World 2000 Entertainment, Touchstone Pictures, Tripod Entertainment","Ireland, United Kingdom, United States of America",English
tt0455760,dead silence,2007,"Horror,Mystery,Thriller",30332850.9406657,25137728.393632416,nm1490123,james wan,"Evolution Entertainment, Universal Pictures, Twisted Pictures",United States of America,English
tt0177971,the perfect storm,2000,"Action,Adventure,Drama",219094076.65505227,333421809.81184673,nm0000583,wolfgang petersen,"Baltimore Spring Creek Productions, Radiant Productions, Warner Bros. Pictures",United States of America,English
tt0096320,twins,1988,"Comedy,Crime",39864750.6339814,297487746.2992392,nm0718645,ivan reitman,Universal Pictures,United States of America,English
tt0419706,doom,2005,"Action,Horror,Sci-Fi",96589861.75115207,45417095.50844853,nm0005647,andrzej bartkowiak,"di Bonaventura Pictures, John Wells Productions, Reaper Productions, Stillking Films, Doom Productions, Distant Planet Productions, Babelsberg Film","Czech Republic, Germany, United Kingdom, United States of America","Japanese, English"
tt4916630,just mercy,2019,"Biography,Crime,Drama",30739147.43840438,44266219.119280405,nm2308774,destin daniel cretton,"Netter Productions, Outlier Society Productions, Endeavor Content, MACRO, One Community, Participant, Warner Bros. Pictures",United States of America,English
tt1924429,trance,2013,"Crime,Drama,Mystery",26987124.46351931,3134005.318454935,nm0000965,danny boyle,"Pathé, Decibel Films, Film4 Productions, Cloud Eight Films, Fox Searchlight Pictures, TSG Entertainment, Firstep","France, United Kingdom, United States of America","English, French"
tt1234548,the men who stare at goats,2009,"Comedy,War",35177622.37762237,47531116.58741258,nm0381416,grant heslov,"Ruby Films, BBC Film, Smoke House Pictures, Overture Films, UK Film Council, Mandate International","United Kingdom, United States of America",English
tt1139328,the ghost writer,2010,"Crime,Drama,Mystery",64869325.99724896,22403773.52407153,nm0000591,roman polanski,"R.P. Productions, Studio Babelsberg, Runteam, France 2 Cinéma, Summit Entertainment, FFA, Medienboard Berlin-Brandenburg, FilmFörderung Hamburg, Mecklenburg Vorpommern, France Télévisions, Bogard, 321 Films, R.P. Films, Elfte Babelsberg Film GmbH, Runteam III Ltd., Pathé, StudioCanal","France, Germany, United Kingdom, United States of America",English
tt1013753,milk,2008,"Biography,Drama,History",29205759.405480724,46497465.88759869,nm0001814,gus van sant,"Groundswell Productions, Jinks/Cohen Company, Focus Features",United States of America,English
tt1374989,pride and prejudice and zombies,2016,"Action,Comedy,Fantasy",36679999.99999999,14288551.21,nm0824882,burr steers,"Screen Gems, Handsomecharlie Films, Cross Creek Pictures, Darko Entertainment, Panorama Media, QC Entertainment, MadRiver Pictures, Allison Shearmur Productions, Head Gear Films, PPZ Holdings, Sierra/Affinity, Stage 6 Films","United Kingdom, United States of America",English
tt7958736,ma,2019,"Horror,Mystery,Thriller",6147829.487680876,56432190.86116543,nm0853238,tate taylor,"Universal Pictures, Blumhouse Productions, Wyolah Films",United States of America,English
tt0079417,kramer vs kramer,1979,Drama,34644628.09917355,460167272.7272727,nm0000914,robert benton,Columbia Pictures,United States of America,English
tt4560436,mile,2018,"Action,Thriller",43823178.016726404,45211443.70848268,nm0000916,peter berg,"STX Films, Closest to the Hole Productions, Film 44, The Hideaway Entertainment, Huayi Brothers Pictures, Tang Media Productions, Leverage Entertainment","China, Colombia, United States of America","Indonesian, English, Russian"
tt0251075,evolution,2001,"Comedy,Sci-Fi",142021456.8040655,68012538.28119706,nm0718645,ivan reitman,"Columbia Pictures, DreamWorks Pictures, The Montecito Picture Company",United States of America,English
tt0138704,pi,1998,"Drama,Horror,Mystery",115730.06134969325,6213068.642944785,nm0004716,darren aronofsky,"Harvest Filmworks, Plantain Films, Protozoa Pictures, Truth & Soul",United States of America,English
tt0947810,green zone,2010,"Action,Drama,Thriller",144154057.77166438,51170851.68638239,nm0339030,paul greengrass,"Universal Pictures, StudioCanal, Relativity Media, Working Title Films, dentsu, Atresmedia, Kanzaman Productions","France, Japan, Spain, United Kingdom, United States of America","English, Arabic"
tt5592248,the beguiled,2017,"Drama,History,Thriller",13468788.249694003,13567134.776009792,nm0001068,sofia coppola,"FR Productions, American Zoetrope",United States of America,"English, French"
tt10059518,unhinged,2020,"Action,Thriller",40089644.51313755,25306849.28902627,nm0097517,derrick borte,"Solstice Productions, Burek Films, Ingenious Media, Altitude Film Entertainment","United States of America, United Kingdom",English
tt1615065,savages,2012,"Action,Crime,Drama",61620209.05923344,64801318.11846689,nm0000231,oliver stone,"Relativity Media, Ixtlan, Onda Entertainment, Universal Pictures",United States of America,English
tt1758830,this is,2012,"Comedy,Drama,Romance",47926829.26829268,92491255.97560976,nm0031976,judd apatow,"Apatow Productions, Forty Productions",United States of America,English
tt2119543,the house with a clock in its walls,2018,"Comedy,Family,Fantasy",52587813.62007169,85830442.48506571,nm0744834,eli roth,"Amblin Entertainment, Mythology Entertainment, Reliance Entertainment, Universal Pictures, DreamWorks Pictures","Canada, India, United States of America",English
tt0463998,freedom writers,2007,"Biography,Crime,Drama",31849493.487698983,55517613.45296671,nm0481418,richard lagravenese,"Double Feature Films, Jersey Films, Kernos Filmproduktionsgesellschaft & Company","Germany, United States of America","Spanish, English"
tt1714915,only lovers left alive,2013,"Comedy,Drama,Fantasy",9445493.562231759,2532316.583690987,nm0000464,jim jarmusch,"Pandora Film, Road Movies, ARD Degeto, Recorded Picture Company, Snow Wolf Produktion, Lago Film, Faliro House Productions, HanWay Films, Le Pacte","France, Germany, Greece, United Kingdom","Turkish, Arabic, English, French"
tt1091722,adventureland,2009,"Comedy,Drama,Romance",14364195.804195803,23516277.2027972,nm0609549,greg mottola,"Miramax, This Is That Productions",United States of America,English
tt1598822,new years eve,2011,"Comedy,Romance",78285460.20453534,76250930.13428189,nm0005190,garry marshall,New Line Cinema,United States of America,English
tt3811906,malignant,2021,"Crime,Horror,Mystery",46405904.05904058,15536454.20811808,nm1490123,james wan,"New Line Cinema, Atomic Monster, Starlight Media, My Entertainment",United States of America,English
tt2172934,days to kill,2014,"Action,Drama,Thriller",37191381.495564006,40775035.427122936,nm0629334,mcg,"Wonderland Sound and Vision, EuropaCorp, Relativity Media, 20th Century Fox","France, United States of America",English
tt1204975,last vegas,2013,Comedy,37781974.248927034,86242978.99055792,nm0005509,jon turteltaub,"Gidden Media, CBS Films, Good Universe, Laurence Mark Productions, Outlaw Sinema, Mandate International",United States of America,English
tt5523010,the nutcracker and the four realms,2018,"Adventure,Family,Fantasy",150250896.05734766,68688262.66188769,"nm0002120,nm0002653","lasse hallström,joe johnston","Walt Disney Pictures, The Mark Gordon Company, Entertainment One",United States of America,English
tt0177789,galaxy quest,1999,"Adventure,Comedy,Sci-Fi",84921968.787515,134787631.77911162,nm0661751,dean parisot,"Gran Via Productions, DreamWorks Pictures, Mark Johnson Productions",United States of America,English
tt0352248,cinderella man,2005,"Biography,Drama,Romance",141665130.56835636,99245939.67434716,nm0000165,ron howard,"Universal Pictures, Miramax, Imagine Entertainment, Buena Vista International, Touchstone Pictures",United States of America,English
tt1600196,the drop,2014,"Crime,Drama,Thriller",16736121.673003802,14244815.807351075,nm1742427,michaël r. roskam,"Fox Searchlight Pictures, Chernin Entertainment, TSG Entertainment, Ingenious Media",United States of America,English
tt1976009,victor frankenstein,2015,"Drama,Horror,Sci-Fi",53063291.1392405,7661113.478481012,nm0006476,paul mcguigan,"Davis Entertainment, Moving Picture Company, TSG Entertainment, 20th Century Fox","United Kingdom, United States of America",English
tt1067774,monte carlo,2011,"Adventure,Comedy,Family",27959092.930191193,32414051.461093813,nm0080120,thomas bezucha,"Blossom Films, Fox 2000 Pictures, Regency Enterprises, Di Novi Pictures, Dune Entertainment, Dune Entertainment III","Hungary, United States of America",English
tt9419056,the unholy,2021,"Drama,Horror,Mystery",11601476.014760146,18019571.48634686,nm0818746,evan spiliotopoulos,"Ghost House Pictures, Screen Gems",United States of America,"English, Latin"
tt5580266,the hate u give,2018,"Crime,Drama",28798088.410991635,37211491.25925926,nm0863387,george tillman jr.,Temple Hill Entertainment,United States of America,English
tt2752772,sinister,2015,"Horror,Mystery,Thriller",13265822.784810126,36800659.29113924,nm1164602,ciarán foy,"Tank Caterpillar, Blumhouse Productions, Alliance Films, Automatik Entertainment, Entertainment One, IM Global, Steady Aim, Gramercy Pictures","Canada, United Kingdom, United States of America",English
tt1764234,killing them softly,2012,"Crime,Drama,Thriller",20540069.686411146,20465496.909407664,nm0231596,andrew dominik,"Plan B Entertainment, Chockstone Pictures, 1984 Private Defense Contractors, Annapurna Pictures, Inferno Entertainment",United States of America,English
tt13375076,the popes exorcist,2023,"Horror,Thriller",18573022.645224813,20646370.436494917,nm1170339,julius avery,"Screen Gems, 2.0 Entertainment, Jesus & Mary, Worldwide Katz, Loyola Productions, FFILME.RO","Spain, United Kingdom, United States of America","English, Fulah, Spanish, Latin, German, Italian"
tt1712261,triple,2016,"Action,Crime,Drama",26199999.999999996,16557479.069999998,nm0384825,john hillcoat,"Surefire Capital, Worldview Entertainment, Sierra Pictures, Anonymous Content, MadRiver Pictures",United States of America,English
tt2870756,magic in the moonlight,2014,"Comedy,Drama,Romance",22314828.8973384,13992606.438529784,nm0000095,woody allen,"Perdido Productions, Harbor Picture Company, Gravier Productions","France, United States of America",English
tt0409182,poseidon,2006,"Action,Adventure,Thriller",249523809.52380952,94623821.75,nm0000583,wolfgang petersen,"Virtual Studios, Radiant Productions, Next Entertainment, Irwin Allen Productions, Synthesis Entertainment, Warner Bros. Pictures",United States of America,"English, Spanish"
tt2872518,the shack,2017,"Drama,Fantasy",25654834.76132191,73611953.56670746,nm0371955,stuart hazeldine,"Summit Entertainment, Netter Productions",United States of America,English
tt1131729,the boat that rocked,2009,"Comedy,Drama,Music",73286713.28671327,11751476.106293704,nm0193485,richard curtis,"Universal Pictures, Working Title Films, Medienproduktion Prometheus Filmgesellschaft, Portobello Studios, Tightrope Pictures, StudioCanal",United Kingdom,English
tt0390384,primer,2004,"Drama,Sci-Fi,Thriller",11650.608787718369,706958.9412387506,nm1503403,shane carruth,Shane Carruth,United States of America,"English, French"
tt3181822,the boy next door,2015,Thriller,5306329.113924051,47765007.74683544,nm0003418,rob cohen,"Smart Entertainment, Blumhouse Productions, Nuyorican Productions, Universal Pictures",United States of America,English
tt1846589,hunter killer,2018,"Action,Thriller",50083632.01911589,19742291.612903222,nm1804518,donovan marsh,"Original Film, G-BASE, Millennium Media, Hunter Killer Productions, Hishow Entertainment, SprocketHeads, Tucker Tooley Entertainment, Lionsgate, Davis Films, Summit Entertainment","China, France, United Kingdom, United States of America","English, Russian"
tt1078588,my sisters keeper,2009,"Drama,Family",43972027.972027965,72114462.99300699,nm0001024,nick cassavetes,"Mark Johnson Productions, Gran Via Productions, Curmudgeon Films, New Line Cinema",United States of America,English
tt1547234,premium rush,2012,"Action,Crime,Thriller",47926829.26829268,27763938.25087108,nm0462895,david koepp,"Pariah Entertainment Group, Columbia Pictures",United States of America,"Mandarin, English"
tt1448755,killer elite,2011,"Action,Crime,Thriller",92265006.66963093,35123590.922187634,nm1834213,gary mckendry,"Open Road Films, Current Entertainment, Omnilab Media, Ambience Entertainment, International Traders, Sighvatsson Films, Palomar Pictures, Film Victoria, Wales Creative IP Fund, Agora Films, Mascot Pictures Wales","Australia, United States of America",English
tt1135503,julie julia,2009,"Biography,Drama,Romance",58629370.62937062,137962862.16503495,nm0001188,nora ephron,"Columbia Pictures, Easy There Tiger Productions, Scott Rudin Productions",United States of America,"English, French"
tt0122718,small soldiers,1998,"Action,Adventure,Comedy",77153374.23312883,106363300.31411044,nm0001102,joe dante,"Amblin Entertainment, Universal Pictures, DreamWorks Pictures",United States of America,English
tt0815236,shes out of my league,2010,"Comedy,Romance",28830811.554332875,46144953.6176066,nm1637768,jim field smith,"Mosaic, DreamWorks Pictures",United States of America,English
tt0120632,city of angels,1998,"Drama,Fantasy,Romance",106085889.57055214,151897458.83190185,nm0797869,brad silberling,"Atlas Entertainment, Monarchy Enterprises B.V., Regency Enterprises, Taurus Film, Warner Bros. Pictures","Germany, United States of America","English, Polish, Mandarin"
tt1524137,contraband,2012,"Action,Adventure,Crime",34233449.47735191,91099317.07317072,nm0466349,baltasar kormákur,"Universal Pictures, Relativity Media, Working Title Films, BlueEyes Productions, Leverage, Closest to the Hole Productions, Farraday Films, StudioCanal","United States of America, United Kingdom, France",English
tt0810913,jack and jill,2011,Comedy,110438417.07425521,103669740.15473542,nm0240797,dennis dugan,"Broken Road Productions, Columbia Pictures, Happy Madison Productions",United States of America,English
tt6791096,i feel pretty,2018,"Comedy,Romance",40066905.61529271,61096523.115890086,"nm0463359,nm0799050","abby kohn,marc silverstein","Wonderland Sound and Vision, Voltage Pictures, Universal Pictures, STX Films, Huayi Brothers Pictures","China, United States of America",English
tt0116209,the english patient,1996,"Drama,Romance,War",54103250.478011474,157733766.63862333,nm0005237,anthony minghella,"Miramax, Tiger Moth Productions","United Kingdom, United States of America","German, Italian, Arabic, English"
tt0112579,the bridges of madison county,1995,"Drama,Romance",49511811.02362204,147538217.7480315,nm0000142,clint eastwood,"Amblin Entertainment, Malpaso Productions, Warner Bros. Pictures",United States of America,English
tt0119190,george of the jungle,1997,"Action,Adventure,Comedy",107738317.75700934,206197931.4691589,nm0918873,sam weisman,"Mandeville Films, Walt Disney Pictures",United States of America,"English, Spanish"
tt0181865,traffic,2000,"Crime,Drama,Thriller",87637630.6620209,226593440.50174215,nm0001752,steven soderbergh,"USA Films, Compulsion Inc., Initial Entertainment Group, Splendid Medien AG, Bedford Falls Productions","Germany, United States of America","Spanish, English"
tt0088128,sixteen candles,1984,"Comedy,Romance",19668912.415784404,71673598.54475456,nm0000455,john hughes,"Universal Pictures, Channel Productions",United States of America,English
tt1161864,the rite,2011,"Drama,Horror,Mystery",51724321.920853704,46199092.10849266,nm0405632,mikael håfström,"New Line Cinema, Contrafilm, Mid Atlantic Films, Hungarian National Film Office, Rome Film Commission, Lazio Film Commission","United States of America, Hungary, Italy","English, Italian, Hungarian, Russian, Latin, Welsh"
tt11271038,licorice pizza,2021,"Comedy,Drama,Romance",46405904.05904058,20091444.283394832,nm0000759,paul thomas anderson,"Ghoulardi Film Company, Bron Studios, Focus Features, Metro-Goldwyn-Mayer","Canada, United States of America","English, Japanese, Spanish"
tt0080120,the warriors,1979,"Action,Crime,Thriller",17322314.049586777,97394710.74380164,nm0001353,walter hill,Paramount,United States of America,English
tt0160862,shes all that,1999,"Comedy,Romance",18871548.61944778,119769268.40816323,nm0410769,robert iscove,"Tapestry Films, FilmColony, Miramax",United States of America,English
tt10039344,countdown,2019,"Horror,Thriller",7992178.333985139,31503649.708251856,nm2280148,justin dec,"Wrigley Pictures, Universal Pictures, STX Films",United States of America,"English, Latin"
tt10731256,dont worry darling,2022,"Drama,Mystery,Thriller",37594806.969593436,48668521.70550051,nm1312575,olivia wilde,"Vertigo Entertainment, New Line Cinema, Warner Bros. Pictures",United States of America,English
tt3312830,youth,2015,"Comedy,Drama,Music",17723139.24050633,3586144.567088608,nm0815204,paolo sorrentino,"Indigo Film, Pathé, France 2 Cinéma, Number 9 Films, Medusa Film, C-Films, Barbary Films, Eurimages, Fox Searchlight Pictures, Film4 Productions","France, Italy, Switzerland, United Kingdom","German, Spanish, English"
tt0455590,the last king of scotland,2006,"Biography,Drama,History",9357142.857142856,27458042.904761907,nm0531817,kevin macdonald,"Fox Searchlight Pictures, Cowboy Films, DNA Films, Scottish Screen, UK Film Council, Film4 Productions, Slate Films, Tatfilm","United States of America, United Kingdom","English, French, German, Swahili"
tt1114677,hannah montana the movie,2009,"Comedy,Drama,Family",51300699.30069929,116637546.95384614,nm0155093,peter chelsom,"It's a Laugh Productions, Millar Gough Ink, Walt Disney Pictures",United States of America,English
tt1098327,dragonball evolution,2009,"Action,Adventure,Fantasy",43972027.972027965,13723354.797202796,nm0939128,james wong,"World Film Magic, Dune Entertainment, Star Overseas, Big Screen Productions, Ingenious Media, 20th Century Fox","Hong Kong, United Kingdom, United States of America","English, Japanese, Hindi"
tt0120679,frida,2002,"Biography,Drama,Romance",20971650.917176206,45237598.66592551,nm0853380,julie taymor,"Miramax, Lions Gate Films, Ventanarosa Productions, Handprint Entertainment","Canada, Mexico, United States of America","French, English, Russian"
tt0467197,max payne,2008,"Action,Crime,Drama",51110078.95959126,59418231.115652576,nm0601382,john moore,"Dune Entertainment, Abandon Entertainment, Collision Entertainment, Depth Entertainment, Firm Films, Foxtor Productions, 20th Century Fox","United States of America, Canada","English, Russian, Spanish"
tt0397101,the skeleton key,2005,"Drama,Horror,Mystery",69222734.2549923,77123326.14439324,nm0812200,iain softley,"Universal Pictures, MFPV Film, Double Feature Films, ShadowCatcher Entertainment, Daniel Bobker Productions, Brick Dust Productions LLC","Germany, United States of America",English
tt1243974,aloha,2015,"Comedy,Drama,Romance",49083544.30379747,27927249.924050637,nm0001081,cameron crowe,"Vinyl Films, Scott Rudin Productions",United States of America,"English, Russian"
tt1711525,office christmas party,2016,Comedy,58949999.99999999,71745417.13999999,"nm0330347,nm0817447","josh gordon,will speck","Bluegrass Films, Entertainment 360",United States of America,"English, Russian"
tt0200550,coyote ugly,2000,"Comedy,Drama,Music",82160278.7456446,110982595.66550525,nm0573589,david mcnally,"Touchstone Pictures, Jerry Bruckheimer Films",United States of America,English
tt2377322,deliver us from evil,2014,"Crime,Horror,Mystery",39847908.74524715,40614478.90494297,nm0220600,scott derrickson,"LStar Capital, Screen Gems, Jerry Bruckheimer Films",United States of America,English
tt1571222,a dangerous method,2011,"Biography,Drama,Romance",20969319.697643396,7971253.424633169,nm0000343,david cronenberg,"Dangerous Method Film AG, Recorded Pictures Company, Millbrook Pictures, Prospero Pictures, Lago Film, The Movie Network","Switzerland, United Kingdom, Germany, Canada",English
tt0430105,four brothers,2005,"Action,Crime,Drama",72442396.31336404,119923366.03379416,nm0005436,john singleton,"Paramount, di Bonaventura Pictures",United States of America,"Spanish, English"
tt1058017,the invention of lying,2009,"Comedy,Fantasy,Romance",27116083.916083913,27044630.836363632,"nm0315041,nm2816668","ricky gervais,matthew robinson","Wintergreen Productions, MRC, 1821 Pictures, Lin Pictures, Lynda Obst Productions, Warner Bros. Pictures, Radar Pictures, Focus Features",United States of America,English
tt1216492,leap year,2010,"Comedy,Romance",27389270.97661623,37363174.91059147,nm0875793,anand tucker,"Birnbaum / Barber Productions, Universal Pictures, Spyglass Entertainment, Octagon Films, BenderSpink","Ireland, United States of America",English
tt1478964,attack the block,2011,"Action,Adventure,Comedy",20061391.491329476,1431750.2000889282,nm0180428,joe cornish,"UK Film Council, Film4 Productions, StudioCanal, Big Talk Productions, Stage 6 Films, Screen Gems","France, United Kingdom, United States of America",English
tt0313737,two weeks notice,2002,"Comedy,Romance",104858254.58588104,163150562.64146745,nm0492909,marc lawrence,"Fortis Films, Castle Rock Entertainment, Village Roadshow Pictures, NPV Entertainment","Australia, United States of America",English
tt1019452,a serious man,2009,"Comedy,Drama",10260139.86013986,13526950.802797202,"nm0001053,nm0001054","ethan coen,joel coen","Mike Zoss Productions, Focus Features, Relativity Media, Working Title Films, StudioCanal","United States of America, United Kingdom, France","English, Hebrew, Yiddish, Italian"
tt0467200,the other boleyn girl,2008,"Biography,Drama,History",51110078.95959126,39157559.13051555,nm0149491,justin chadwick,"Scott Rudin Productions, Columbia Pictures, Focus Features, BBC Film, Relativity Media, Ruby Films, Universal Pictures","United Kingdom, United States of America",English
tt1859650,to rome with love,2012,"Comedy,Music,Romance",23278745.6445993,22846516.85017421,nm0000095,woody allen,"Mediapro, Perdido Productions, Medusa Film, Gravier Productions, Sony Pictures Classics, Focus Features","Italy, Spain, United States of America","Italian, English"
tt4799050,rough night,2017,Comedy,25654834.76132191,28355830.922888614,nm3622659,lucia aniello,"Paulilu Productions, Sony Pictures, Columbia Pictures, LStar Capital",United States of America,English
tt0762125,planet,2009,"Adventure,Animation,Comedy",102601398.60139859,61845279.55244754,"nm3360961,nm3371961,nm3483756","jorge blanco,javier abad,marcos martínez","Ilion Animation Studios, Hand Made Films","Spain, United Kingdom, United States of America","English, Spanish"
tt2106361,into the storm,2014,"Action,Adventure,Drama",66413181.24207858,63228262.75285171,nm0702797,steven quale,"RatPac Entertainment, New Line Cinema, Village Roadshow Pictures, Broken Road Productions, Warner Bros. Entertainment",United States of America,English
tt0112453,balto,1995,"Adventure,Animation,Drama",63952755.905511804,23247342.51968504,nm0920425,simon wells,"Amblin Entertainment, Amblimation, Universal Pictures",United States of America,English
tt2717822,blackhat,2015,"Action,Crime,Thriller",92860759.49367088,10620591.189873418,nm0000520,michael mann,"Universal Pictures, Forward Pass, Legendary Pictures",United States of America,"Cantonese, English, Indonesian, Italian, Mandarin, Spanish, German"
tt3850590,krampus,2015,"Comedy,Fantasy,Horror",19898734.17721519,56678857.974683546,nm1002424,michael dougherty,"Universal Pictures, Legendary Pictures",United States of America,"German, English"
tt6850820,peppermint,2018,"Action,Thriller",31302270.01194743,44347457.23297491,nm0603628,pierre morel,"STX Films, Lakeshore Entertainment, Huayi Brothers Pictures, Universal Pictures","China, United States of America","English, Spanish"
tt0277371,not another teen movie,2001,Comedy,28404291.360813096,67251688.50592884,nm0302778,joel gallen,"Neal H. Moritz Productions, Original Film, Columbia Pictures",United States of America,English
tt0070379,mean streets,1973,"Crime,Drama,Thriller",3540540.54054054,231161.8918918919,nm0000217,martin scorsese,"Scorsese Productions, Warner Bros. Pictures",United States of America,"English, Italian"
tt0443274,vantage point,2008,"Action,Crime,Drama",58411518.81096145,105529617.3079424,nm0871428,pete travis,"Kanzaman Productions, Relativity Media, Original Film, Art In Motion, Columbia Pictures","Mexico, Spain, United States of America","Spanish, English"
tt2387499,keeping up with the joneses,2016,"Action,Comedy",52399999.99999999,19524798.06,nm0609549,greg mottola,"Parkes+MacDonald Image Nation, Fox 2000 Pictures, 20th Century Fox, TSG Entertainment",United States of America,"Hebrew, English"
tt6324278,abominable,2019,"Adventure,Animation,Comedy",92217442.31521314,74710133.03089558,"nm0191717,nm1392282","jill culton,todd wilderman","DreamWorks Animation, Pearl Studio, Universal Pictures, dentsu","China, Japan, United States of America",English
tt0120188,three kings,1999,"Action,Adventure,Comedy",141536614.64585835,114459784.6242497,nm0751102,david o. russell,"Village Roadshow Pictures, Atlas Entertainment, Village-A.M. Partnership, Coast Ridge, Junger Witt Productions",United States of America,"English, Arabic"
tt0108358,tombstone,1993,"Biography,Drama,History",54394463.667820066,122942508.20761244,"nm0181902,nm0418883","george p. cosmatos,kevin jarre","Hollywood Pictures, Cinergi Pictures Entertainment",United States of America,"English, Latin"
tt0366551,harold kumar go to white castle,2004,"Adventure,Comedy",14979354.155637903,30333466.78665961,nm0500444,danny leiner,"New Line Cinema, Senator International, Kingsgate Films, Endgame Entertainment",United States of America,"English, Hindi"
tt0165982,sinbad legend of the seven seas,2003,"Adventure,Animation,Comedy",102521739.13043478,45252159.28695652,"nm1369708,nm0426333","patrick gilmore,tim johnson","DreamWorks Animation, DreamWorks Pictures",United States of America,English
tt0266987,spy game,2001,"Action,Crime,Thriller",204155844.15584415,110710270.26538678,nm0001716,tony scott,"Universal Pictures, TOHO-TOWA, Beacon Communications, Kalima Productions, Red Wagon Productions, Metropolitan Films, October Pictures","France, Germany, Hong Kong, Japan, United States of America","Cantonese, English, German, Arabic, French"
tt0492956,the game plan,2007,"Comedy,Family,Sport",33366136.034732267,137480919.96526772,nm0275698,andy fickman,"Monkey Dance Productions, Walt Disney Pictures, Mayhem Pictures",United States of America,English
tt0107977,robin hood men in tights,1993,"Adventure,Comedy,Musical",43515570.934256054,77673742.78754325,nm0000316,mel brooks,"Gaumont, Brooksfilms, 20th Century Fox","France, United States of America","English, Spanish"
tt0120768,the negotiator,1998,"Action,Crime,Drama",96441717.79141104,86230017.36441718,nm0336620,f. gary gray,"Regency Enterprises, Warner Bros. Pictures, Mandeville Films, Monarchy Enterprises B.V., Taurus Film","Germany, United States of America",English
