release_date,title,production_budget,domestic_gross
"Apr 19, 2002",My Big Fat Greek Wedding,"$5,000,000","$241,438,208"
Unknown,Sherlock Holmes 3,,
"Sep 23, 2020",Enola Holmes,,
"Dec 16, 2011",Sherlock Holmes: A Game of …,"$125,000,000","$186,848,418"
"Dec 25, 2009",Sherlock Holmes,"$90,000,000","$209,028,679"
"Nov 22, 2024",Gladiator II,"$250,000,000","$172,438,016"
"May 5, 2000",Gladiator,"$103,000,000","$187,683,805"
"May 19, 2009",Doctor Dolittle: Million Do…,,
"Mar 4, 2008",Doctor Dolittle: Tail to th…,,
"Apr 25, 2006",Dr. Dolittle 3,,
"Jun 22, 2001",Dr. Dolittle 2,"$72,000,000","$112,950,721"
"Jun 26, 1998",Doctor Dolittle,"$71,500,000","$144,156,605"
"Apr 5, 2024",The First Omen,,"$20,092,802"
"Jun 6, 2006",The Omen,"$25,000,000","$54,607,383"
"May 20, 1991",Omen IV: The Awakening,,
"Mar 20, 1981",The Final Conflict,,"$20,471,000"
"Jun 9, 1978",Damien: Omen II,,"$24,000,000"
"Jan 4, 2022",Amityville Scarecrow,,
"Dec 9, 2021",Amityville Cult,,
"Oct 28, 2017",Amityville: The Awakening,,$742
"Jan 22, 2007",Amityville: Dollhouse,,
"Apr 15, 2005",The Amityville Horror,"$18,500,000","$65,233,369"
"Jan 18, 1995",Amityville: A New Generation,,
"Sep 1, 1994",Amityville 1992: It’s About…,,
"Aug 28, 1992",Amityville Horror: The Evil…,,
"Nov 18, 1983",Amityville 3-D,,"$6,333,135"
"Sep 24, 1982",Amityville II: The Possession,,"$11,328,000"
"Aug 7, 2015",Fantastic Four,"$120,000,000","$56,117,548"
"Jun 15, 2007",Fantastic Four: Rise of the…,"$120,000,000","$131,921,738"
"Nov 5, 1993",Look Who's Talking Now,,"$10,172,124"
"Dec 14, 1990",Look Who's Talking Too,,"$46,614,448"
"Oct 13, 1989",Look Who's Talking,,"$140,088,813"
2020-2029,Sister Act 3,,
"Dec 10, 1993",Sister Act 2 Back in the Habit,,"$57,319,029"
"May 29, 1992",Sister Act,,"$139,605,150"
"Jan 9, 2015",Taken 3,"$48,000,000","$89,256,424"
"Oct 5, 2012",Taken 2,"$45,000,000","$139,854,287"
"Jan 30, 2009",Taken,"$25,000,000","$145,000,989"
Unknown,"Honey, We Shrunk Ourselves",,
"Jul 17, 1992",Honey I Blew Up the Kid,,"$58,662,452"
"Jun 23, 1989","Honey, I Shrunk the Kids",,"$130,724,172"
"Dec 22, 2021",Sing 2,"$85,000,000","$162,790,990"
"Dec 21, 2016",Sing,"$75,000,000","$270,329,045"
"May 24, 2024",Furiosa: A Mad Max Saga,"$168,000,000","$67,587,546"
"May 15, 2015",Mad Max: Fury Road,"$150,000,000","$154,363,726"
"Jul 10, 1985",Mad Max Beyond Thunderdome,"$10,000,000","$36,230,219"
"May 21, 1982",Mad Max 2: The Road Warrior,"$2,000,000","$23,667,907"
"Mar 21, 1980",Mad Max,"$200,000","$8,773,197"
"Sep 6, 2024",Beetlejuice Beetlejuice,"$100,000,000","$294,100,435"
"Mar 30, 1988",Beetlejuice,"$15,000,000","$77,475,359"
"Nov 21, 2018",Ralph Breaks The Internet,"$175,000,000","$201,091,711"
"Nov 2, 2012",Wreck-It Ralph,"$165,000,000","$189,412,677"
"Dec 25, 2026",Dune: Messiah,,
"Mar 1, 2024",Dune: Part Two,"$190,000,000","$282,709,065"
"Oct 22, 2021",Dune,"$165,000,000","$111,031,267"
"Nov 14, 2014",Dumb and Dumber To,"$40,000,000","$86,208,010"
"Jun 13, 2003",Dumb and Dumberer: When Har…,"$30,000,000","$26,214,846"
"Dec 16, 1994",Dumb & Dumber,"$16,000,000","$127,266,176"
"Jan 18, 2019",Glass,"$20,000,000","$111,048,468"
"Jan 20, 2017",Split,"$9,000,000","$138,141,585"
"Nov 22, 2000",Unbreakable,"$73,243,106","$94,999,143"
"Dec 22, 1978",Force 10 from Navarone,"$5,000,000","$7,100,000"
"Jun 22, 1961",The Guns of Navarone,,"$28,900,000"
"Oct 8, 2021",Gekijouban Poketto monsutâ:…,,
"Feb 27, 2020",Gekijô-ban poketto monsutâ …,,
"May 10, 2019",Pokémon: Detective Pikachu,"$150,000,000","$144,105,346"
"Dec 31, 2016",Pokemon za mubi XY and Z bo…,,
"Dec 31, 2015",Pokémon the Movie XY: Ring …,,
"Apr 2, 2013",Pokemon the Movie 15: Kyure…,,
Unknown,Gekijouban Pokketo monsutâ …,,
Unknown,Pokemon 2009,,
Unknown,Pokemon 2008,,
Unknown,Pokemon 2007: Diamond & Pearl,,
"Dec 31, 2006",Gekijô-ban poketto monsutâ:…,,
Unknown,Gekijōban Poketto Monsutā A…,,
"May 16, 2003",Pokemon Heroes,,"$744,928"
"Oct 11, 2002",Pokemon 4Ever,,"$1,732,301"
"Apr 6, 2001",Pokemon 3: The Movie,"$3,000,000","$17,052,128"
"Jul 21, 2000",Pokemon 2000,"$30,000,000","$43,746,923"
"Nov 10, 1999",Pokemon: The First Movie,"$30,000,000","$85,744,662"
"Nov 30, 1999",Detective Pikachu 2,,
"Mar 7, 2014",300: Rise of an Empire,"$110,000,000","$106,580,051"
"Mar 9, 2007",300,"$60,000,000","$210,614,939"
"Jun 8, 1990",Another 48 Hrs.,,"$80,047,413"
"Dec 8, 1982",48 Hrs.,,"$75,936,265"
"Feb 9, 2018",Fifty Shades Freed,"$55,000,000","$100,407,760"
"Feb 10, 2017",Fifty Shades Darker,"$55,000,000","$114,434,010"
"Feb 13, 2015",Fifty Shades of Grey,"$40,000,000","$166,167,230"
"Mar 3, 2009",Ace Ventura: Pet Detective Jr.,,
"Nov 10, 1995",Ace Ventura: When Nature Calls,"$30,000,000","$108,360,063"
"Feb 4, 1994",Ace Ventura: Pet Detective,"$12,000,000","$72,217,396"
"Nov 12, 2002",Beauty and the Beast: The E…,,
"Nov 13, 1991",Beauty and the Beast,"$20,000,000","$206,333,165"
"Oct 18, 2019",Maleficent: Mistress of Evil,"$185,000,000","$113,929,605"
"May 30, 2014",Maleficent,"$180,000,000","$241,407,328"
"Nov 15, 2019",Charlie’s Angels,"$48,000,000","$17,801,306"
"Jun 27, 2003",Charlie's Angels: Full Thro…,"$120,000,000","$100,814,328"
"Nov 3, 2000",Charlie's Angels,"$90,000,000","$125,305,545"
"Dec 22, 2017",Pitch Perfect 3,"$45,000,000","$104,897,530"
"May 15, 2015",Pitch Perfect 2,"$29,000,000","$184,296,230"
"Sep 28, 2012",Pitch Perfect,"$17,000,000","$65,001,093"
"Mar 18, 2016",The Divergent Series: Alleg…,"$110,000,000","$66,184,051"
"Mar 20, 2015",The Divergent Series: Insur…,"$110,000,000","$130,179,072"
"Mar 21, 2014",Divergent,"$85,000,000","$150,947,895"
"Feb 18, 2022",Texas Chainsaw Massacre,,
"Oct 20, 2017",Leatherface,,
"Jan 4, 2013",Texas Chainsaw 3D,"$20,000,000","$34,341,945"
"Oct 6, 2006",The Texas Chainsaw Massacre…,"$16,000,000","$39,517,763"
"Oct 17, 2003",The Texas Chainsaw Massacre,"$9,000,000","$80,571,655"
"Sep 22, 1995",Texas Chainsaw Massacre: Ne…,,"$94,558"
"Jan 12, 1990",Leatherface: Texas Chainsaw…,,"$5,697,588"
"Aug 22, 1986",The Texas Chainsaw Massacre 2,"$4,700,000","$8,025,872"
"Dec 11, 1985",The Jewel of the Nile,,"$68,275,764"
"Mar 30, 1984",Romancing the Stone,,"$75,078,260"
"Dec 10, 1993",Wayne's World 2,,"$47,965,000"
"Feb 14, 1992",Wayne's World,"$20,000,000","$121,697,323"
"Jun 13, 2014",22 Jump Street,"$50,000,000","$191,719,337"
"Mar 16, 2012",21 Jump Street,"$42,000,000","$138,447,667"
"Mar 16, 2018",Tomb Raider,"$90,000,000","$58,250,803"
"Jul 25, 2003",Lara Croft: Tomb Raider: Th…,"$90,000,000","$65,653,758"
"Jun 15, 2001",Lara Croft: Tomb Raider,"$94,000,000","$131,144,183"
"Jan 1, 1997",Speed 2: Cruise Control,"$110,000,000","$48,097,081"
"Jun 10, 1994",Speed,"$30,000,000","$121,248,145"
"May 16, 2025",Final Destination: Bloodlines,,
"Aug 12, 2011",Final Destination 5,"$40,000,000","$42,587,643"
"Aug 28, 2009",The Final Destination,"$40,000,000","$66,477,700"
"Feb 10, 2006",Final Destination 3,"$25,000,000","$54,098,051"
"Jan 31, 2003",Final Destination 2,"$26,000,000","$46,896,664"
"Mar 17, 2000",Final Destination,"$23,000,000","$53,302,314"
"Sep 26, 2023","Scooby-Doo! And Krypto, Too!",,
"Oct 4, 2022",Trick or Treat Scooby-Doo!,,
"Sep 13, 2021",Straight Outta Nowhere: Sco…,,
"Feb 23, 2021",Scooby-Doo! The Sword and t…,,
"Oct 6, 2020","Happy Halloween, Scooby-Doo!",,
"May 15, 2020",Scoob!,,"$2,188,425"
"Aug 28, 2018",Scooby-Doo! and the Gourmet…,,
"May 22, 2018",Daphne & Velma,,
"Oct 9, 2012",Big Top Scooby-Doo!,,
"Mar 1, 2011",Scooby-Doo! Curse of the La…,,
"Sep 14, 2010",Scooby-Doo! Camp Scare,,
"Feb 16, 2010",Scooby Doo: Abracadabra-Doo,,
"Apr 7, 2009",Scooby-Doo and the Samurai …,,
"Sep 23, 2008",Scooby-Doo and the Goblin King,,
"Sep 4, 2007",Chill Out Scooby-Doo!,,
"Mar 26, 2004",Scooby-Doo 2: Monsters Unle…,"$25,000,000","$84,185,387"
"Jun 14, 2002",Scooby-Doo,"$84,000,000","$153,294,164"
"Jun 10, 1994",City Slickers II: The Legen…,,"$43,440,947"
"Jun 7, 1991",City Slickers,,"$124,033,791"
"Jul 25, 2023",Resident Evil: Death Island,,
"Nov 24, 2021",Resident Evil: Welcome to R…,"$25,000,000","$17,000,612"
"Jul 18, 2017",Resident Evil: Vendetta,,
"Jan 27, 2017",Resident Evil: The Final Ch…,"$40,000,000","$26,844,692"
"Sep 25, 2012",Resident Evil: Damnation,,
"Sep 14, 2012",Resident Evil: Retribution,"$65,000,000","$42,345,531"
"Sep 10, 2010",Resident Evil: Afterlife,"$57,500,000","$60,128,566"
"Dec 27, 2008",Resident Evil: Degeneration,,
"Sep 21, 2007",Resident Evil: Extinction,"$45,000,000","$50,648,679"
"Sep 10, 2004",Resident Evil: Apocalypse,"$50,000,000","$50,740,078"
"Mar 15, 2002",Resident Evil,"$35,000,000","$40,119,709"
"Jun 10, 1988",Poltergeist III,"$9,500,000","$14,114,000"
"May 23, 1986",Poltergeist II: The Other Side,,"$40,996,665"
"Jun 4, 1982",Poltergeist,"$10,700,000","$74,788,932"
"Nov 26, 2025",Zootopia 2,,
"Mar 4, 2016",Zootopia,"$150,000,000","$341,268,248"
"Dec 10, 1982",Airplane II: The Sequel,,"$25,009,494"
"Jul 4, 1980",Airplane!,"$3,500,000","$83,453,539"
"Dec 8, 1995",Father of the Bride Part II,,"$76,578,911"
"Dec 20, 1991",Father of the Bride,,"$89,325,780"
"Apr 28, 2000",The Flintstones in Viva Roc…,"$58,000,000","$35,231,365"
"May 27, 1994",The Flintstones,"$45,000,000","$130,531,208"
"Aug 21, 2026",Sony/Blumhouse Insidious,,
"Jul 7, 2023",Insidious: The Red Door,"$16,000,000","$82,156,962"
"Jan 5, 2018",Insidious: The Last Key,"$10,000,000","$67,745,330"
"Jun 5, 2015",Insidious Chapter 3,"$10,000,000","$52,218,558"
"Sep 13, 2013",Insidious Chapter 2,"$5,000,000","$83,586,447"
"Apr 1, 2011",Insidious,"$1,500,000","$54,009,150"
"Nov 18, 2011",Happy Feet Two,"$135,000,000","$64,006,466"
"Nov 17, 2006",Happy Feet,"$85,000,000","$198,000,317"
"Feb 21, 2006",Stuart Little 3,,
"Jul 19, 2002",Stuart Little 2,"$120,000,000","$64,956,806"
"Dec 17, 1999",Stuart Little,"$105,000,000","$140,015,224"
"Apr 10, 1998",The Odd Couple II,,"$18,912,328"
"May 2, 1968",The Odd Couple,,"$44,527,234"
"Jul 23, 2021",Snake Eyes: G.I. Joe Origins,"$88,000,000","$28,264,325"
Unknown,G.I. Joe: Ever Vigilant,,
"Mar 27, 2013",G.I. Joe: Retaliation,"$140,000,000","$122,523,060"
"Aug 7, 2009",G.I. Joe: The Rise of Cobra,"$175,000,000","$150,201,498"
"Jun 20, 2000",G.I. Joe: The Movie,,
"Jul 2, 2021",The Forever Purge,"$18,000,000","$44,539,245"
"Jul 4, 2018",The First Purge,"$13,000,000","$69,488,745"
"Jul 1, 2016",The Purge: Election Year,"$10,000,000","$79,042,440"
"Jul 18, 2014",The Purge: Anarchy,"$9,000,000","$71,562,550"
"Jun 7, 2013",The Purge,"$3,000,000","$64,473,115"
"Dec 8, 2004",Blade: Trinity,"$65,000,000","$52,397,389"
"Mar 22, 2002",Blade 2,"$54,000,000","$81,676,888"
"Feb 18, 2011","Big Mommas: Like Father, Li…","$32,000,000","$37,915,414"
"Jan 27, 2006",Big Momma's House 2,"$40,000,000","$70,165,972"
"Jun 2, 2000",Big Momma's House,"$33,000,000","$117,559,438"
"Feb 3, 2017",Rings,"$25,000,000","$27,793,018"
"Mar 18, 2005",The Ring Two,"$50,000,000","$75,941,727"
"Oct 18, 2002",The Ring,"$48,000,000","$129,094,024"
"Dec 31, 1999",Ringu 0: Bâsudei,,
"Jun 26, 2015",Ted 2,"$68,000,000","$81,476,385"
"Jun 29, 2012",Ted,"$50,000,000","$218,665,740"
"Jul 12, 2013",Grown Ups 2,"$80,000,000","$133,668,525"
"Jun 25, 2010",Grown Ups,"$75,000,000","$162,001,186"
"Dec 14, 2007",I am Legend,"$150,000,000","$256,393,010"
"Dec 25, 1996",The Evening Star,,"$12,767,815"
"Nov 23, 1983",Terms of Endearment,,"$108,423,489"
"Mar 18, 2022",Cheaper by the Dozen,,
"Dec 21, 2005",Cheaper by the Dozen 2,"$60,000,000","$82,571,173"
"Jan 6, 2017",Underworld: Blood Wars,"$35,000,000","$30,353,973"
"Jan 20, 2012",Underworld: Awakening,"$70,000,000","$62,321,039"
"Jan 23, 2009",Underworld 3: Rise of the L…,"$35,000,000","$45,802,315"
"Jan 20, 2006",Underworld: Evolution,"$45,000,000","$62,318,875"
"Sep 19, 2003",Underworld,"$22,000,000","$51,970,690"
"Sep 16, 2016",Blair Witch,"$10,000,000","$20,777,061"
"Oct 27, 2000",Book of Shadows: Blair Witch 2,"$15,000,000","$26,421,314"
"Jul 14, 1999",The Blair Witch Project,"$600,000","$140,539,099"
"Nov 9, 1984","Oh God, You Devil!",,"$21,538,850"
"Oct 3, 1980","Oh, God! Book II",,"$14,504,277"
"Oct 7, 1977","Oh, God!",,"$51,061,196"
"Aug 11, 2004",The Princess Diaries 2: Roy…,"$45,000,000","$95,149,435"
"Aug 3, 2001",The Princess Diaries,"$30,000,000","$108,244,774"
"Feb 12, 2014",RoboCop,"$120,000,000","$58,607,007"
"Nov 5, 1993",RoboCop 3,"$22,000,000","$10,696,210"
"Jun 22, 1990",RoboCop 2,,"$45,681,173"
"Apr 11, 2014",Rio 2,"$130,000,000","$131,538,435"
"Apr 15, 2011",Rio,"$90,000,000","$143,619,809"
"Aug 20, 2004",Benji: Off the Leash!,,"$3,817,362"
"Jun 5, 1987",Benji the Hunted,,"$15,212,539"
"Jul 11, 1980",Oh Heavenly Dog,,"$6,216,067"
"Jun 5, 1977",For the Love of Benji,,"$22,257,624"
"Nov 15, 1974",Benji,"$500,000","$31,559,560"
"Jan 20, 2017",xXx: Return of Xander Cage,"$85,000,000","$44,898,413"
"Apr 29, 2005",XXX: State of the Union,"$60,000,000","$26,873,932"
"Aug 9, 2002",xXx,"$70,000,000","$141,930,000"
"Dec 19, 2025",The SpongeBob Movie: Search…,,
"Aug 14, 2020",The SpongeBob Movie: Sponge…,"$60,000,000","$4,810,790"
"Nov 19, 2004",SpongeBob SquarePants: The …,"$30,000,000","$85,416,609"
"Dec 22, 1995",Grumpier Old Men,,"$71,518,503"
"Dec 25, 1993",Grumpy Old Men,,"$70,172,621"
"May 27, 2010",Sex and the City 2,"$95,000,000","$95,347,692"
"May 30, 2008",Sex and the City,"$57,500,000","$152,647,258"
"Jul 20, 2018",Mamma Mia: Here We Go Again!,"$75,000,000","$120,634,935"
"Jul 18, 2008",Mamma Mia!,"$52,000,000","$144,540,088"
"Jul 8, 1988",Arthur 2: On the Rocks,,"$14,681,192"
"Jul 17, 1981",Arthur,,"$81,464,486"
"Sep 1, 2023",The Equalizer 3,,"$92,373,751"
"Jul 20, 2018",The Equalizer 2,"$77,000,000","$102,084,362"
"Sep 26, 2014",The Equalizer,"$55,000,000","$101,530,738"
2025,Legally Blonde 3,,
"Apr 28, 2009",Legally Blondes,,
"Jul 2, 2003","Legally Blonde 2: Red, Whit…","$25,000,000","$90,639,088"
"Jul 13, 2001",Legally Blonde,"$18,000,000","$96,493,426"
"Feb 18, 2005",Son of the Mask,"$100,000,000","$17,018,422"
"Jul 29, 1994",The Mask,"$18,000,000","$120,114,301"
"Jul 1, 2008",Hancock,"$150,000,000","$227,946,274"
"Apr 7, 2017",Smurfs: The Lost Village,"$60,000,000","$45,020,282"
"Jul 31, 2013",The Smurfs 2,"$110,000,000","$71,017,784"
"Jul 29, 2011",The Smurfs,"$110,000,000","$142,614,158"
"Jul 14, 1995",Under Siege 2: Dark Territory,"$60,000,000","$50,024,083"
"Oct 9, 1992",Under Siege,,"$83,563,139"
"Sep 27, 2013",Cloudy with a Chance of Mea…,"$78,000,000","$119,793,567"
"Mar 30, 2012",Wrath of the Titans,"$150,000,000","$83,670,083"
"Apr 1, 2010",Clash of the Titans,"$125,000,000","$163,214,888"
"Mar 5, 2021",Coming 2 America,"$60,000,000",
"Jun 29, 1988",Coming to America,,"$128,152,301"
"Dec 25, 2023",The Color Purple,,"$60,619,191"
"Jul 22, 2005",The Bad News Bears,"$35,000,000","$32,868,349"
1978,The Bad News Bears Go To Japan,,"$14,000,000"
"Jul 8, 1977",The Bad News Bears in Break…,,
"Oct 10, 2025",Tron: Ares,,
"Dec 17, 2010",Tron: Legacy,"$200,000,000","$172,062,763"
"Jul 9, 1982",Tron,"$17,000,000","$26,918,576"
"Jun 27, 2008",Une vieille maîtresse,,"$785,671"
1975,French Connection II,,"$12,000,000"
"Oct 9, 1971",The French Connection,"$2,200,000","$41,158,757"
"Jun 21, 2019",Child’s Play,,"$29,208,403"
"Oct 3, 2017",Cult of Chucky,,
"Oct 8, 2013",Curse of Chucky,,
"Nov 12, 2004",Seed of Chucky,"$29,000,000","$17,016,190"
"Oct 16, 1998",Bride of Chucky,"$25,000,000","$32,404,188"
"Aug 30, 1991",Child's Play 3,,"$14,250,380"
"Nov 9, 1990",Child's Play 2,"$13,000,000","$26,904,572"
"Sep 22, 2023",Expend4bles,"$100,000,000","$16,710,153"
"Aug 15, 2014",The Expendables 3,"$100,000,000","$39,322,544"
"Aug 17, 2012",The Expendables 2,"$100,000,000","$85,028,192"
"Aug 13, 2010",The Expendables,"$82,000,000","$103,068,524"
"Dec 22, 2021",The King’s Man,"$100,000,000","$37,176,373"
"Sep 22, 2017",Kingsman: The Golden Circle,"$104,000,000","$100,234,838"
"Feb 13, 2015",Kingsman: The Secret Service,"$94,000,000","$128,261,724"
"Oct 20, 2015",Elf: Buddy's Musical Christmas,,
"Nov 7, 2003",Elf,"$32,000,000","$184,129,376"
"Apr 21, 1989",Speed Zone!,,"$3,077,061"
"Jun 29, 1984",Cannonball Run II,,"$28,100,000"
"Jun 19, 1981",The Cannonball Run,,"$57,498,710"
"Apr 15, 2016",Barbershop: The Next Cut,"$20,000,000","$54,030,051"
"Feb 6, 2004",Barbershop 2: Back in Business,"$18,000,000","$65,070,412"
"Sep 13, 2002",Barbershop,"$12,000,000","$75,781,642"
"Dec 31, 2019",Step Up China,,
"Aug 8, 2014",Step Up All In,,"$14,904,384"
"Jul 27, 2012",Step Up Revolution,"$33,000,000","$35,074,677"
"Aug 6, 2010",Step Up 3D,"$30,000,000","$42,400,223"
"Feb 14, 2008",Step Up 2 the Streets,"$17,500,000","$58,017,783"
"Aug 11, 2006",Step Up,"$12,000,000","$65,328,121"
"Sep 30, 2013",Easy Rider: The Ride Back,,
"Jul 14, 1969",Easy Rider,,"$41,728,598"
"Mar 31, 2006",Basic Instinct 2,"$70,000,000","$5,946,136"
"Mar 20, 1992",Basic Instinct,,"$117,727,224"
"Nov 10, 2017",Daddy’s Home 2,"$70,000,000","$104,029,443"
"Dec 25, 2015",Daddy’s Home,"$50,000,000","$150,357,137"
"Dec 18, 2013",Anchorman 2: The Legend Con…,"$50,000,000","$127,413,176"
"Jul 9, 2004",Anchorman: The Legend of Ro…,"$25,000,000","$84,136,909"
"Nov 25, 2020",The Croods: A New Age,"$65,000,000","$58,568,815"
"Mar 22, 2013",The Croods,"$135,000,000","$187,168,425"
"Jun 14, 2019",Shaft,"$30,000,000","$21,360,215"
"Jun 14, 1973",Shaft in Africa,,
"Jun 8, 1972",Shaft’s Big Score,,"$10,000,000"
"Jan 26, 2018",Maze Runner: The Death Cure,"$61,000,000","$58,032,443"
"Sep 18, 2015",Maze Runner: The Scorch Trials,"$61,000,000","$81,697,192"
"Sep 19, 2014",The Maze Runner,"$34,000,000","$102,427,862"
"Oct 4, 1996",D3: The Mighty Ducks,,"$22,936,273"
"Mar 25, 1994",D2: The Mighty Ducks,,"$45,604,206"
"Oct 2, 1992",The Mighty Ducks,"$10,000,000","$50,752,337"
"Oct 24, 2025",Mortal Kombat 2,"$68,000,000",
"Aug 31, 2021",Mortal Kombat Legends: Batt…,,
"Apr 23, 2021",Mortal Kombat,"$55,000,000","$42,326,031"
"Apr 12, 2020",Mortal Kombat Legends: Scor…,,
"Nov 21, 1997",Mortal Kombat: Annihilation,"$30,000,000","$35,927,406"
"Apr 17, 2015",Paul Blart: Mall Cop 2,"$38,000,000","$71,091,594"
"Jan 16, 2009",Paul Blart: Mall Cop,"$26,000,000","$146,336,178"
"Nov 17, 2023",Trolls Band Together,"$95,000,000","$103,974,820"
"Apr 10, 2020",Trolls: World Tour,,
"Nov 4, 2016",Trolls,"$125,000,000","$153,856,089"
"Jul 16, 2021",Space Jam: A New Legacy,"$150,000,000","$70,592,228"
"Nov 15, 1996",Space Jam,"$80,000,000","$90,463,534"
"Feb 10, 2012",Journey 2: The Mysterious I…,"$79,000,000","$103,860,290"
"Jul 11, 2008",Journey to the Center of th…,"$45,000,000","$101,704,370"
"Oct 28, 2005",The Legend of Zorro,"$80,000,000","$45,575,336"
"Jul 17, 1998",The Mask of Zorro,"$65,000,000","$93,828,745"
"Aug 23, 2019",Angel Has Fallen,"$40,000,000","$69,030,436"
"Mar 4, 2016",London Has Fallen,"$60,000,000","$62,524,260"
"Mar 22, 2013",Olympus Has Fallen,"$70,000,000","$98,927,592"
"Jan 15, 2016",Ride Along 2,"$40,000,000","$90,862,685"
"Jan 17, 2014",Ride Along,"$25,000,000","$134,202,565"
"Mar 24, 2005",Miss Congeniality 2: Armed …,"$60,000,000","$48,478,006"
"Dec 22, 2000",Miss Congeniality,"$45,000,000","$106,807,667"
"May 4, 2021",The Force Awakens From Its Nap,,
"Jul 27, 2007",The Simpsons Movie,"$72,500,000","$183,135,014"
"Dec 6, 2002",Analyze That,"$60,000,000","$32,122,249"
"Mar 5, 1999",Analyze This,"$30,000,000","$106,885,658"
"Oct 28, 2014",Beethoven's Treasure Tail,,
"Nov 8, 2011",Beethoven’s Christmas Adven…,,
"Dec 30, 2008",Beethoven's Big Break,,
"Dec 17, 1993",Beethoven’s 2nd,,"$52,636,940"
"Apr 3, 1992",Beethoven,,"$56,979,478"
"Aug 8, 1997",Free Willy 3: The Rescue,,"$3,519,178"
"Jul 19, 1995",Free Willy 2: The Adventure…,,"$30,077,111"
"Jul 16, 1993",Free Willy,"$20,000,000","$77,698,625"
"Nov 23, 1988",Cocoon: The Return,,"$18,924,919"
"Jun 21, 1985",Cocoon,,"$76,257,348"
"Jan 3, 2020",The Grudge,"$10,000,000","$21,216,148"
"May 12, 2009",The Grudge 3,,
"Oct 13, 2006",The Grudge 2,"$20,000,000","$39,143,839"
"Jan 1, 1975",Rooster Cogburn,,"$8,000,000"
"Jun 11, 1969",True Grit,,"$31,132,592"
"Feb 5, 2005",Mulan 2,,
"Jun 19, 1998",Mulan,"$90,000,000","$120,620,254"
"May 21, 1993",Hot Shots! Part Deux,,"$38,618,836"
"Jul 31, 1991",Hot Shots!,,"$68,267,322"
"Mar 4, 2005",Be Cool,"$75,000,000","$55,849,401"
"Oct 20, 1995",Get Shorty,"$30,250,000","$72,021,008"
"Jul 2, 2021",The Boss Baby: Family Business,"$82,000,000","$57,300,280"
"Sep 1, 2020",The Boss Baby: Get That Baby!,,
"Mar 31, 2017",The Boss Baby,"$125,000,000","$175,003,033"
"May 23, 2025",Lilo & Stitch,,
"Aug 30, 2005",Lilo and Stitch 2: Stitch h…,,
"Apr 22, 2016",The Huntsman: Winter’s War,"$115,000,000","$48,003,015"
"Jun 1, 2012",Snow White and the Huntsman,"$170,000,000","$155,136,755"
1967,In Like Flint,,"$11,000,000"
"Jan 16, 1965",Our Man Flint,,"$16,000,000"
"Oct 17, 1986",The Color of Money,"$10,000,000","$52,293,000"
"Sep 25, 1961",The Hustler,"$2,000,000","$7,600,000"
"May 24, 2024",The Garfield Movie,"$60,000,000","$91,956,547"
"Jun 16, 2009",Garfield's Pet Force,,
"Jun 16, 2006",Garfield: A Tail of Two Kit…,"$60,000,000","$28,426,747"
"Jun 11, 2004",Garfield: The Movie,"$50,000,000","$75,367,693"
"May 20, 2016",Neighbors 2: Sorority Rising,"$35,000,000","$55,340,730"
"May 9, 2014",Neighbors,"$18,000,000","$150,086,800"
"Feb 10, 2023",Magic Mike’s Last Dance,,"$26,033,633"
"Jul 1, 2015",Magic Mike XXL,"$14,500,000","$66,013,057"
"Jun 29, 2012",Magic Mike,"$7,000,000","$113,721,571"
"Apr 5, 2019",Pet Sematary,"$21,000,000","$54,724,696"
"Aug 28, 1992",Pet Sematary II,,"$17,092,453"
Unknown,The Topkapi Affair,,
"Aug 6, 1999",The Thomas Crown Affair,"$48,000,000","$69,304,264"
"Feb 6, 1998",Blues Brothers 2000,,"$14,089,198"
"Jun 20, 1980",The Blues Brothers,"$27,000,000","$57,229,890"
"Aug 15, 2006",I'll Always Know What You D…,,
"Nov 13, 1998",I Still Know What You Did L…,"$24,000,000","$40,020,622"
"Oct 17, 1997",I Know What You Did Last Su…,"$17,000,000","$72,250,091"
"Mar 29, 2019",Dumbo,"$170,000,000","$114,766,307"
"Jan 14, 1994",Death Wish V: The Face of D…,,"$1,711,424"
"Nov 6, 1987",Death Wish 4: The Crackdown,,"$6,880,310"
"Nov 1, 1985",Death Wish 3,,"$16,116,878"
"Feb 19, 1982",Death Wish II,,"$16,100,000"
"Jul 1, 1974",Death Wish,,"$22,000,000"
"Aug 4, 2023",Meg 2: The Trench,"$129,000,000","$82,633,033"
"Aug 10, 2018",The Meg,"$178,000,000","$145,443,742"
"Aug 19, 2011",Conan the Barbarian,"$90,000,000","$21,295,021"
"Jun 29, 1984",Conan the Destroyer,"$18,000,000","$26,400,000"
"May 18, 2001",Moulin Rouge,"$53,000,000","$57,386,369"
"Nov 1, 1996",Romeo+Juliet,"$14,500,000","$46,338,728"
"Feb 1, 1993",Strictly Ballroom,,"$11,738,000"
"Feb 17, 2012",Ghost Rider: Spirit of Veng…,"$57,000,000","$51,774,002"
"Feb 16, 2007",Ghost Rider,"$120,000,000","$115,802,596"
"Dec 8, 2023",Diary of a Wimpy Kid Christ…,,
"Dec 2, 2022",Diary of a Wimpy Kid: Rodri…,,
"Dec 3, 2021",Diary Of A Wimpy Kid,,
"May 19, 2017",Diary of a Wimpy Kid: The L…,"$22,000,000","$20,738,724"
