release_date,title,production_budget,domestic_gross
"Nov 19, 1999",Toy Story 2,"$90,000,000","$245,852,179"
"Nov 22, 1995",Toy Story,"$30,000,000","$192,523,233"
"Nov 22, 2000",102 Dalmatians,"$85,000,000","$66,941,559"
"Nov 27, 1996",101 Dalmatians,,"$136,189,294"
"Nov 20, 2026",The Hunger Games: Sunrise o…,,
"Nov 17, 2023",The Hunger Games: The Balla…,"$100,000,000","$166,350,594"
"Nov 20, 2015",The Hunger Games: Mockingja…,"$160,000,000","$281,723,902"
"Nov 22, 2013",The Hunger Games: Catching …,"$130,000,000","$424,668,047"
"Mar 23, 2012",The Hunger Games,"$80,000,000","$408,010,692"
"Jul 17, 1987",Jaws 4: The Revenge,"$23,000,000","$20,763,013"
"Jul 22, 1983",Jaws 3-D,,"$45,517,055"
"Jun 16, 1978",Jaws 2,"$20,000,000","$102,922,376"
"Jun 20, 1975",Jaws,"$12,000,000","$273,661,595"
"May 23, 2025",Mission: Impossible—The Fin…,"$400,000,000",
"Jul 12, 2023",Mission: Impossible Dead Re…,"$290,000,000","$172,640,980"
"Jul 27, 2018",Mission: Impossible—Fallout,"$178,000,000","$220,159,104"
"Jul 31, 2015",Mission: Impossible—Rogue N…,"$150,000,000","$195,042,377"
"Dec 16, 2011",Mission: Impossible—Ghost P…,"$145,000,000","$209,397,903"
"May 5, 2006",Mission: Impossible III,"$150,000,000","$133,501,348"
"May 24, 2000",Mission: Impossible 2,"$120,000,000","$215,409,889"
"May 21, 1996",Mission: Impossible,"$80,000,000","$180,981,886"
"Nov 16, 2012",The Twilight Saga: Breaking…,"$136,200,000","$292,324,737"
"Jun 30, 2010",The Twilight Saga: Eclipse,"$68,000,000","$300,531,751"
"Jun 29, 2010",The Twilight Saga: Twilight…,,"$2,385,237"
"Nov 20, 2009",The Twilight Saga: New Moon,"$50,000,000","$296,623,634"
"Nov 21, 2008",Twilight,"$37,000,000","$192,769,854"
"Dec 20, 2024",Mufasa: The Lion King,"$200,000,000","$240,761,300"
"Jul 19, 2019",The Lion King,"$260,000,000","$543,638,043"
"Feb 10, 2004",The Lion King 1 1/2,,
"Oct 27, 1998",The Lion King II: Simba's P…,,
"May 10, 2024",Kingdom of the Planet of th…,"$160,000,000","$171,130,165"
"Jul 14, 2017",War for the Planet of the Apes,"$152,000,000","$146,880,162"
"Jul 11, 2014",Dawn of the Planet of the Apes,"$170,000,000","$208,545,589"
"Aug 5, 2011",Rise of the Planet of the Apes,"$93,000,000","$176,760,185"
"Jul 27, 2001",Planet of the Apes,"$100,000,000","$180,011,740"
1973,Battle for the Planet of th…,"$1,800,000","$8,800,000"
"Jun 30, 1972",Conquest of the Planet of t…,"$1,700,000","$9,700,000"
1971,Escape from the Planet of t…,"$2,500,000","$12,300,000"
"May 26, 1970",Beneath the Planet of the Apes,"$3,000,000","$17,489,009"
"Dec 19, 2031",Avatar 5,,
"Dec 21, 2029",Avatar 4,,
"Dec 19, 2025",Avatar: Fire and Ash,"$250,000,000",
"Dec 16, 2022",Avatar: The Way of Water,"$400,000,000","$684,075,767"
"Dec 18, 2009",Avatar,"$237,000,000","$785,221,649"
"Apr 28, 2023",Peter Pan & Wendy,,
"Oct 27, 2009",Tinker Bell and the Lost Tr…,,
"Nov 12, 2004",Finding Neverland,"$25,000,000","$51,676,606"
"Dec 25, 2003",Peter Pan,"$100,000,000","$48,417,850"
"Feb 15, 2002",Peter Pan: Return to Neverland,"$20,000,000","$48,430,258"
"Dec 11, 1991",Hook,"$70,000,000","$119,654,823"
"Mar 29, 2024",Godzilla x Kong: The New Em…,"$135,000,000","$196,805,338"
"Mar 31, 2021",Godzilla vs. Kong,"$155,000,000","$100,916,094"
"Mar 10, 2017",Kong: Skull Island,"$185,000,000","$168,052,812"
"Dec 14, 2005",King Kong,"$207,000,000","$218,080,025"
"Dec 19, 1986",King Kong Lives,"$10,000,000","$4,711,220"
2025,The Exorcist: Deceiver,,
"Oct 6, 2023",The Exorcist: Believer,"$30,000,000","$65,537,395"
"May 20, 2005",Dominion: Prequel to the Ex…,,"$251,495"
"Aug 20, 2004",Exorcist: The Beginning,"$78,000,000","$41,814,863"
"Aug 17, 1990",The Exorcist III,,"$25,011,739"
"Jun 17, 1977",Exorcist II: The Heretic,"$14,000,000","$25,011,000"
"Dec 26, 1973",The Exorcist,"$12,000,000","$231,020,723"
"Feb 27, 2001",Lady and the Tramp 2 Scamp’…,,
"Jun 22, 1955",Lady and the Tramp,,"$93,600,000"
"Jan 1, 1974",The Trial of Billy Jack,,"$89,000,000"
"Jan 1, 1971",Billy Jack,"$800,000","$98,000,000"
"Aug 18, 1967",The Born Losers,,"$36,000,000"
"Mar 22, 2024",Ghostbusters: Frozen Empire,"$100,000,000","$113,376,590"
"Nov 19, 2021",Ghostbusters: Afterlife,"$75,000,000","$129,360,575"
"Jul 15, 2016",Ghostbusters,"$144,000,000","$128,350,574"
"Jun 16, 1989",Ghostbusters II,,"$112,494,738"
2025,Toto,,
"Nov 21, 2025",Wicked: For Good,,
"Nov 22, 2024",Wicked,"$145,000,000","$472,382,000"
"Mar 8, 2013",Oz the Great and Powerful,"$200,000,000","$234,770,996"
"Jun 21, 1985",Return to Oz,"$27,000,000","$10,618,813"
"Aug 25, 1939",The Wizard of Oz,"$2,777,000","$35,572,006"
"Dec 19, 2018",Mary Poppins Returns,"$130,000,000","$171,958,438"
"Aug 26, 1964",Mary Poppins,"$6,000,000","$102,272,145"
"Dec 13, 2024",Kraven the Hunter,"$110,000,000","$25,026,310"
"Oct 25, 2024",Venom: The Last Dance,"$110,000,000","$139,755,882"
"Feb 14, 2024",Madame Web,"$80,000,000","$43,817,106"
"Apr 1, 2022",Morbius,"$75,000,000","$73,865,530"
"Oct 1, 2021",Venom: Let There be Carnage,"$110,000,000","$213,550,366"
"Oct 5, 2018",Venom,"$116,000,000","$213,511,408"
"Dec 25, 1990",The Godfather: Part III,"$54,000,000","$66,666,062"
"Dec 11, 1974",The Godfather: Part II,"$13,000,000","$57,300,000"
"Mar 15, 1972",The Godfather,"$7,000,000","$136,479,994"
"Aug 16, 2024",Alien: Romulus,"$80,000,000","$105,313,091"
"May 19, 2017",Alien: Covenant,"$97,000,000","$74,262,031"
"Jun 8, 2012",Prometheus,"$125,000,000","$126,477,084"
"Dec 25, 2007",Aliens vs. Predator - Requiem,"$40,000,000","$41,797,066"
"Aug 13, 2004",AVP: Alien Vs. Predator,"$70,000,000","$80,281,096"
"Nov 26, 1997",Alien: Resurrection,"$60,000,000","$47,802,866"
"May 22, 1992",Alien 3,"$55,000,000","$54,927,174"
"Jul 18, 1986",Aliens,"$17,000,000","$85,160,248"
"May 25, 1979",Alien,"$10,700,000","$65,403,354"
"Jun 14, 2019",Men in Black: International,"$110,000,000","$80,001,807"
"May 25, 2012",Men in Black 3,"$215,000,000","$179,020,854"
"Jul 3, 2002",Men in Black 2,"$140,000,000","$190,418,803"
"Jul 1, 1997",Men in Black,"$90,000,000","$250,690,539"
"Nov 1, 2019",Terminator: Dark Fate,"$185,000,000","$62,253,077"
"Jul 1, 2015",Terminator: Genisys,"$155,000,000","$89,760,956"
"May 21, 2009",Terminator Salvation,"$200,000,000","$125,322,469"
