name,domestic_gross,num_movies,avg_gross
Robert Pattinson,"$1,884,804,183",26,"$72,492,469"
Josh Gad,"$1,875,782,110",18,"$104,210,117"
Kevin Costner,"$1,870,034,543",42,"$44,524,632"
Michelle Pfeiffer,"$1,848,929,225",39,"$47,408,442"
Clint Eastwood,"$1,819,074,512",48,"$37,897,386"
Angela Bassett,"$1,814,411,800",15,"$120,960,787"
Russell Crowe,"$1,784,107,169",45,"$39,646,826"
Chris Pine,"$1,775,779,723",23,"$77,207,814"
Jason Statham,"$1,775,405,843",42,"$42,271,568"
Reese Witherspoon,"$1,754,006,467",37,"$47,405,580"
Brie Larson,"$1,752,344,202",13,"$134,795,708"
Arnold Schwarzenegger,"$1,745,985,584",36,"$48,499,600"
Ralph Fiennes,"$1,712,659,800",32,"$53,520,619"
Dustin Hoffman,"$1,697,122,428",34,"$49,915,366"
Orlando Bloom,"$1,694,032,419",23,"$73,653,583"
Anthony Hopkins,"$1,690,593,844",45,"$37,568,752"
Carrie Fisher,"$1,689,932,048",8,"$211,241,506"
Steve Martin,"$1,684,694,928",36,"$46,797,081"
Kristen Stewart,"$1,681,919,097",30,"$56,063,970"
Matthew McConaughey,"$1,674,977,438",31,"$54,031,530"
Keegan-Michael Key,"$1,660,110,792",18,"$92,228,377"
Jude Law,"$1,649,527,915",37,"$44,581,836"
Tommy Lee Jones,"$1,642,726,957",29,"$56,645,757"
Nicole Kidman,"$1,608,666,722",56,"$28,726,191"
Chris Rock,"$1,598,269,970",23,"$69,489,999"
Jon Favreau,"$1,592,088,211",6,"$265,348,035"
Woody Harrelson,"$1,589,341,818",46,"$34,550,909"
Margot Robbie,"$1,585,650,797",22,"$72,075,036"
Rachel McAdams,"$1,557,282,290",23,"$67,707,926"
Colin Farrell,"$1,554,947,378",37,"$42,025,605"
Anne Hathaway,"$1,548,227,575",38,"$40,742,831"
Andy Serkis,"$1,545,371,944",11,"$140,488,359"
Simon Pegg,"$1,543,321,958",26,"$59,358,537"
Taylor Lautner,"$1,541,289,602",10,"$154,128,960"
Oscar Isaac,"$1,521,322,180",24,"$63,388,424"
Keira Knightley,"$1,513,576,383",28,"$54,056,299"
Tobey Maguire,"$1,511,900,006",11,"$137,445,455"
Anthony Mackie,"$1,503,865,109",25,"$60,154,604"
Michael Keaton,"$1,499,821,728",21,"$71,420,082"
Ryan Gosling,"$1,492,138,147",24,"$62,172,423"
Dennis Quaid,"$1,491,847,049",55,"$27,124,492"
Robert Redford,"$1,490,323,472",32,"$46,572,609"
Daniel Craig,"$1,482,096,808",18,"$82,338,712"
Angelina Jolie,"$1,475,042,568",24,"$61,460,107"
Cate Blanchett,"$1,473,355,968",28,"$52,619,856"
Evangeline Lilly,"$1,470,140,175",8,"$183,767,522"
Jamie Foxx,"$1,453,398,678",33,"$44,042,384"
Charlize Theron,"$1,446,225,595",33,"$43,825,018"
Kevin James,"$1,445,010,325",16,"$90,313,145"
Paul Walker,"$1,443,562,627",16,"$90,222,664"
Al Pacino,"$1,441,819,013",45,"$32,040,423"
Michelle Rodriguez,"$1,440,531,175",18,"$80,029,510"
Antonio Banderas,"$1,436,020,088",36,"$39,889,447"
John Goodman,"$1,435,810,646",22,"$65,264,120"
Kristen Bell,"$1,429,971,537",22,"$64,998,706"
